,distrito,mandatos,mandatos_cc,diferenca
22,Comp.,0,0,40
11,Portalegre,2,2,0
20,Europa,2,2,0
21,F. Europa,2,2,0
1,Beja,3,2,1
3,Bragança,3,3,0
6,Évora,3,3,0
8,Guarda,4,3,1
4,C. Branco,4,4,0
16,Vila Real,5,4,1
19,Açores,5,4,1
15,V. Castelo,6,5,1
18,Madeira,6,5,1
7,Faro,8,7,1
17,Viseu,9,8,1
5,Coimbra,10,8,2
9,Leiria,10,8,2
13,Santarém,10,8,2
0,Aveiro,16,13,3
14,Setúbal,17,14,3
2,Braga,19,15,4
12,Porto,39,32,7
10,Lisboa,47,38,9
