partido,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_nao_convertidos,%votos_nao_convertidos_cc,votos_por_deputado,votos_por_deputado_cc
MAS,3331.0,0.0,0.0,3331.0,3331.0,100.0,100.0,inf,inf
PTP,8299.0,0.0,0.0,8299.0,8299.0,100.0,100.0,inf,inf
PPM,8431.0,0.0,0.0,8431.0,8431.0,100.0,100.0,inf,inf
JPP,10550.0,0.0,0.0,10550.0,10550.0,100.0,100.0,inf,inf
PURP,11491.0,0.0,0.0,11491.0,11491.0,100.0,100.0,inf,inf
ADN,11761.0,0.0,0.0,11761.0,11761.0,100.0,100.0,inf,inf
NC,12379.0,0.0,0.0,12379.0,12379.0,100.0,100.0,inf,inf
MPT,12952.0,0.0,0.0,12952.0,12952.0,100.0,100.0,inf,inf
PNR,17126.0,0.0,0.0,17126.0,17126.0,100.0,100.0,inf,inf
R.I.R.,35359.0,0.0,1.0,35359.0,0.0,100.0,0.0,inf,35359.0
MRPP,36118.0,0.0,1.0,36118.0,0.0,100.0,0.0,inf,36118.0
A,40487.0,0.0,1.0,40487.0,0.0,100.0,0.0,inf,40487.0
CH,67826.0,1.0,3.0,45773.0,0.0,67.4859198537434,0.0,67826.0,22608.666666666668
IL,67681.0,1.0,3.0,40515.0,0.0,59.861704171037665,0.0,67681.0,22560.333333333332
L,57172.0,1.0,2.0,34365.0,0.0,60.10809487161548,0.0,57172.0,28586.0
CDS-PP,221774.0,5.0,10.0,102919.0,0.0,46.407153228061,0.0,44354.8,22177.4
PAN,174511.0,4.0,8.0,76118.0,0.0,43.61788082126628,0.0,43627.75,21813.875
PCP-PEV,332473.0,12.0,15.0,95292.0,0.0,28.661575526433726,0.0,27706.083333333332,22164.866666666665
B.E.,500017.0,19.0,24.0,88129.0,0.0,17.625200743174734,0.0,26316.684210526317,20834.041666666668
PPD/PSD,1457704.0,79.0,70.0,31856.0,0.0,2.1853545026973924,0.0,18451.949367088608,20824.342857142856
PS,1908036.0,108.0,92.0,0.0,0.0,0.0,0.0,17667.0,20739.521739130436
