,código,distrito,partido,votos,% votos,mandatos
109,140000,Santarém,PPD/PSD.CDS-PP.PPM,0.0,0.0,0.0
110,140000,Santarém,PPM,0.0,0.0,0.0
111,140000,Santarém,PS,89870.0,41.19,4.0
112,140000,Santarém,PTP,162.0,0.07,0.0
113,140000,Santarém,R.I.R.,901.0,0.41,0.0
114,140000,Santarém,VP,311.0,0.14,0.0
115,80000,Faro,A,0.0,0.0,0.0
116,80000,Faro,ADN,1152.0,0.59,0.0
117,80000,Faro,B.E.,11226.0,5.76,0.0
118,80000,Faro,CDS-PP,2109.0,1.08,0.0
119,80000,Faro,CH,23988.0,12.3,1.0
120,80000,Faro,E,220.0,0.11,0.0
121,80000,Faro,IL,9042.0,4.64,0.0
122,80000,Faro,JPP,0.0,0.0,0.0
123,80000,Faro,L,2111.0,1.08,0.0
124,80000,Faro,MAS,286.0,0.15,0.0
125,80000,Faro,MPT,383.0,0.2,0.0
126,80000,Faro,NC,0.0,0.0,0.0
127,80000,Faro,PAN,4213.0,2.16,0.0
128,80000,Faro,PCP-PEV,9379.0,4.81,0.0
129,80000,Faro,PCTP/MRPP,0.0,0.0,0.0
130,80000,Faro,PPD/PSD,47471.0,24.35,3.0
131,80000,Faro,PPD/PSD.CDS-PP,0.0,0.0,0.0
132,80000,Faro,PPD/PSD.CDS-PP.PPM,0.0,0.0,0.0
133,80000,Faro,PPM,0.0,0.0,0.0
134,80000,Faro,PS,77740.0,39.87,4.0
135,80000,Faro,PTP,250.0,0.13,0.0
136,80000,Faro,R.I.R.,759.0,0.39,0.0
137,80000,Faro,VP,210.0,0.11,0.0
138,30000,Braga,A,286.0,0.06,0.0
139,30000,Braga,ADN,0.0,0.0,0.0
140,30000,Braga,B.E.,18558.0,3.75,0.0
141,30000,Braga,CDS-PP,8215.0,1.66,0.0
142,30000,Braga,CH,28746.0,5.81,1.0
143,30000,Braga,E,494.0,0.1,0.0
144,30000,Braga,IL,21432.0,4.33,0.0
145,30000,Braga,JPP,481.0,0.1,0.0
146,30000,Braga,L,3925.0,0.79,0.0
147,30000,Braga,MAS,549.0,0.11,0.0
148,30000,Braga,MPT,453.0,0.09,0.0
149,30000,Braga,NC,0.0,0.0,0.0
150,30000,Braga,PAN,5907.0,1.19,0.0
