distrito,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc
Aveiro,335162.0,16.0,13.0,41069.0,4496.0
Açores,78276.0,5.0,4.0,19555.0,1369.0
Beja,61804.0,3.0,2.0,20988.0,756.0
Braga,443037.0,19.0,16.0,54459.0,5953.0
Bragança,60812.0,3.0,2.0,11688.0,790.0
C. Branco,89213.0,4.0,3.0,26237.0,1210.0
Coimbra,193247.0,9.0,7.0,36570.0,2981.0
Europa,79548.0,2.0,2.0,27932.0,5308.0
Faro,164730.0,9.0,7.0,41490.0,3824.0
F. Europa,41279.0,2.0,2.0,14310.0,4762.0
Guarda,72566.0,3.0,3.0,17440.0,913.0
Leiria,210278.0,10.0,8.0,44910.0,4160.0
Lisboa,1061563.0,48.0,40.0,46152.0,18663.0
Madeira,126832.0,6.0,5.0,35228.0,10589.0
Portalegre,49401.0,2.0,2.0,26388.0,492.0
Porto,897961.0,40.0,33.0,61361.0,12518.0
Santarém,196885.0,9.0,8.0,31105.0,3955.0
Setúbal,380931.0,18.0,15.0,44010.0,7123.0
V. Castelo,116097.0,6.0,5.0,32509.0,2252.0
Vila Real,95605.0,5.0,4.0,19156.0,706.0
Viseu,168952.0,8.0,7.0,41746.0,2447.0
Évora,71299.0,3.0,2.0,28948.0,1053.0
