,distrito,mandatos,mandatos_cc,diferenca
22,Comp.,0,0,40
11,Portalegre,2,2,0
20,Europa,2,2,0
21,F. Europa,2,2,0
1,Beja,3,2,1
3,Bragança,3,2,1
6,Évora,3,2,1
8,Guarda,3,3,0
4,C. Branco,4,3,1
16,Vila Real,5,4,1
19,Açores,5,4,1
15,V. Castelo,6,4,2
18,Madeira,6,5,1
17,Viseu,8,7,1
5,Coimbra,9,7,2
7,Faro,9,8,1
13,Santarém,9,8,1
9,Leiria,10,8,2
0,Aveiro,16,13,3
14,Setúbal,18,15,3
2,Braga,19,16,3
12,Porto,40,33,7
10,Lisboa,48,40,8
