,circulo_compensacao,desvio_proporcionalidade,votos_perdidos
0,0,19.16548525,512530
1,1,18.29592003,455158
2,2,17.42635482,404513
3,3,16.74877153,298765
4,4,16.07702948,298765
5,5,15.41105345,298765
6,6,14.75076953,298765
7,7,14.09610505,298765
8,8,13.44698857,227267
9,9,12.80334986,142196
10,10,12.16511989,142196
11,11,11.53223075,142196
12,12,10.90461569,142196
13,13,10.28220905,142196
14,14,9.664946265,142196
15,15,9.052763835,142196
16,16,8.445599293,119506
17,17,7.843391197,119506
18,18,7.246079101,119506
19,19,6.653603541,119506
20,20,6.065906009,97570
21,21,5.48292894,97570
22,22,5.704615687,87652
23,23,5.427424582,87652
24,24,4.937421542,87652
25,25,4.997023775,87652
26,26,4.292138372,87652
27,27,3.862095516,87652
28,28,4.033664144,87652
29,29,3.931108459,87652
30,30,4.015565371,87652
31,31,4.099370106,87652
32,32,3.862940467,87652
33,33,3.924832598,82341
34,34,3.98625227,82341
35,35,4.047204872,82341
36,36,4.107695712,82341
37,37,4.167730018,82341
38,38,4.227312937,82341
39,39,4.293383965,82341
40,40,4.413569554,82341
41,41,4.53286157,82341
42,42,3.974295642,82341
43,43,3.683587037,82341
44,44,3.709594771,82341
45,45,3.413197113,82341
46,46,3.42656574,82341
47,47,3.43983714,82341
48,48,3.45301237,82341
49,49,3.466092473,82341
50,50,3.479260873,82341
51,51,3.529331424,82341
52,52,3.645978936,82341
53,53,3.76290827,82341
54,54,3.879008318,82341
55,55,3.994287871,82341
56,56,3.819603523,82341
57,57,3.876435744,82341
58,58,3.932870537,82341
59,59,3.988912057,82341
60,60,4.044564399,82341
61,61,3.698324376,82341
62,62,3.717415177,82341
63,63,3.736374769,82341
64,64,3.803183509,82341
65,65,3.877988315,82341
66,66,3.290296614,64599
67,67,3.364088843,64599
68,68,3.437382475,64599
69,69,3.193182829,64599
70,70,3.24741644,64599
71,71,3.301287285,64599
72,72,3.354798991,64599
73,73,3.407955137,64599
74,74,3.460759255,64599
75,75,3.515136456,64599
76,76,3.608384951,64599
77,77,3.716236547,64599
78,78,3.823383231,64599
79,79,3.929831891,64599
80,80,3.64306965,64599
81,81,3.409413838,64599
82,82,3.428204943,64599
83,83,3.446875206,64599
84,84,2.880695065,47788
85,85,2.856607577,47788
86,86,2.874922223,47788
87,87,2.893120585,47788
88,88,2.964479131,47788
89,89,3.068300558,47788
90,90,3.17146902,47788
91,91,3.088886935,47788
92,92,3.168280515,47788
93,93,3.194356715,47788
94,94,3.246600286,47788
95,95,3.298520367,47788
96,96,3.350119955,47788
97,97,3.401402006,47788
98,98,3.099687231,47788
99,99,3.118448605,47788
100,100,3.171266109,47788
101,101,3.228590512,47788
102,102,3.296749304,47788
103,103,3.364496259,47788
104,104,3.210560171,47788
105,105,3.22865055,47788
106,106,3.250319555,47788
107,107,2.752592009,47788
108,108,2.797012763,47788
109,109,2.841169891,47788
110,110,2.885065735,47788
111,111,2.928702607,47788
112,112,2.987829727,47788
113,113,3.079256327,47788
114,114,3.170148268,47788
115,115,3.10716563,47788
116,116,3.156321505,47788
117,117,3.258860225,47788
118,118,3.000312299,47788
119,119,2.894598919,47788
120,120,2.912817476,47788
121,121,2.368230948,32707
122,122,2.386241591,32707
123,123,2.404149609,32707
124,124,2.431018321,32707
125,125,2.551546735,32707
126,126,2.60708778,32707
127,127,2.700984494,32707
128,128,2.795256624,32707
129,129,2.649839843,32707
130,130,2.698350867,32707
131,131,2.746591635,32707
132,132,2.794564399,32707
133,133,2.842271386,32707
134,134,2.889714798,32707
135,135,2.936896814,32707
136,136,2.476534145,32707
137,137,2.192672934,32707
138,138,2.251060538,32707
139,139,2.309129953,32707
140,140,2.366883774,32707
141,141,2.435574557,32707
142,142,2.28850548,32707
143,143,2.227029209,32707
144,144,2.274851137,32707
145,145,2.322416648,32707
146,146,2.369727798,32707
147,147,2.416786621,32707
148,148,2.463595132,32707
149,149,2.550867151,32707
150,150,2.64068793,32707
151,151,2.730034722,32707
152,152,2.818911267,32707
153,153,2.693951976,32707
154,154,2.428373834,32707
155,155,2.446144807,32707
156,156,2.463823223,32707
157,157,2.481409803,32707
158,158,2.548067548,32707
159,159,2.516310303,32707
160,160,2.533625628,32707
161,161,2.584744941,32707
162,162,2.656967947,32707
163,163,2.743531,32707
164,164,2.829652405,32707
165,165,2.713987639,32707
166,166,2.757903373,32707
167,167,2.801596748,32707
168,168,2.84506945,32707
169,169,2.888323145,32707
170,170,2.931359486,32707
171,171,2.974180105,32707
172,172,2.734656556,32707
173,173,2.778348336,32707
174,174,2.835419588,32707
175,175,2.892207609,32707
176,176,2.9487145,32707
177,177,2.81490347,32707
178,178,2.830715669,32707
179,179,2.846450168,32707
180,180,2.862107537,32707
181,181,2.901872196,32707
182,182,2.94361589,32707
183,183,2.985156451,32707
184,184,3.026495359,32707
185,185,3.089078209,32707
186,186,3.16978846,32707
187,187,3.250109745,32707
188,188,3.189863544,32707
189,189,3.230215878,32707
190,190,3.014560862,32707
191,191,3.029405959,32707
192,192,3.044180366,32707
193,193,2.620300637,32707
194,194,2.630432235,32707
195,195,2.64051593,32707
196,196,2.65055206,32707
197,197,2.676287897,32707
198,198,2.724893255,32707
199,199,2.782567294,32707
200,200,2.727066995,32707
201,201,2.767369372,32707
202,202,2.807484296,32707
203,203,2.847413071,32707
204,204,2.887156992,32707
205,205,2.926717337,32707
206,206,2.966095377,32707
207,207,3.005292368,32707
208,208,3.044309557,32707
209,209,2.837696533,32707
210,210,2.889941499,32707
211,211,2.941948448,32707
212,212,2.871020193,32707
213,213,2.885450207,32707
214,214,2.899814927,32707
215,215,2.914114795,32707
216,216,2.92835025,32707
217,217,2.942521725,32707
218,218,2.976427877,32707
219,219,2.575164616,20931
220,220,2.613116038,20931
221,221,2.656164541,20931
222,222,2.730403591,20931
223,223,2.804313421,20931
224,224,2.763242461,20931
225,225,2.80035981,20931
226,226,2.837313647,20931
227,227,2.473891028,20931
228,228,2.251639373,20931
229,229,2.2621964,20931
230,230,2.272707326,20931
