,código,distrito,partido,votos,% votos,mandatos
0,120000,Portalegre,A,0.0,0.0,0.0
1,120000,Portalegre,ADN,0.0,0.0,0.0
2,120000,Portalegre,B.E.,1550.0,2.9,0.0
3,120000,Portalegre,CDS-PP,635.0,1.19,0.0
4,120000,Portalegre,CH,6136.0,11.46,0.0
5,120000,Portalegre,E,43.0,0.08,0.0
6,120000,Portalegre,IL,1115.0,2.08,0.0
7,120000,Portalegre,JPP,0.0,0.0,0.0
8,120000,Portalegre,L,295.0,0.55,0.0
9,120000,Portalegre,MAS,48.0,0.09,0.0
10,120000,Portalegre,MPT,50.0,0.09,0.0
11,120000,Portalegre,NC,0.0,0.0,0.0
12,120000,Portalegre,PAN,345.0,0.64,0.0
13,120000,Portalegre,PCP-PEV,4058.0,7.58,0.0
14,120000,Portalegre,PCTP/MRPP,304.0,0.57,0.0
15,120000,Portalegre,PPD/PSD,12432.0,23.23,0.0
16,120000,Portalegre,PPD/PSD.CDS-PP,0.0,0.0,0.0
17,120000,Portalegre,PPD/PSD.CDS-PP.PPM,0.0,0.0,0.0
18,120000,Portalegre,PPM,0.0,0.0,0.0
19,120000,Portalegre,PS,25271.0,47.21,0.0
20,120000,Portalegre,PTP,16.0,0.03,0.0
21,120000,Portalegre,R.I.R.,122.0,0.23,0.0
22,120000,Portalegre,VP,35.0,0.07,0.0
23,900000,Fora da Europa,A,484.0,0.75,0.0
24,900000,Fora da Europa,ADN,648.0,1.01,0.0
25,900000,Fora da Europa,B.E.,1680.0,2.61,0.0
26,900000,Fora da Europa,CDS-PP,1381.0,2.14,0.0
27,900000,Fora da Europa,CH,6181.0,9.59,0.0
28,900000,Fora da Europa,E,199.0,0.31,0.0
29,900000,Fora da Europa,IL,2285.0,3.55,0.0
30,900000,Fora da Europa,JPP,0.0,0.0,0.0
31,900000,Fora da Europa,L,642.0,1.0,0.0
32,900000,Fora da Europa,MAS,72.0,0.11,0.0
33,900000,Fora da Europa,MPT,532.0,0.83,0.0
34,900000,Fora da Europa,NC,621.0,0.96,0.0
35,900000,Fora da Europa,PAN,2921.0,4.53,0.0
36,900000,Fora da Europa,PCP-PEV,908.0,1.41,0.0
37,900000,Fora da Europa,PCTP/MRPP,0.0,0.0,0.0
38,900000,Fora da Europa,PPD/PSD,24143.0,37.46,1.0
39,900000,Fora da Europa,PPD/PSD.CDS-PP,0.0,0.0,0.0
40,900000,Fora da Europa,PPD/PSD.CDS-PP.PPM,0.0,0.0,0.0
41,900000,Fora da Europa,PPM,0.0,0.0,0.0
42,900000,Fora da Europa,PS,19181.0,29.76,1.0
43,900000,Fora da Europa,PTP,0.0,0.0,0.0
44,900000,Fora da Europa,R.I.R.,287.0,0.45,0.0
45,900000,Fora da Europa,VP,319.0,0.5,0.0
46,800000,Europa,A,307.0,0.16,0.0
47,800000,Europa,ADN,802.0,0.41,0.0
48,800000,Europa,B.E.,7639.0,3.95,0.0
49,800000,Europa,CDS-PP,2580.0,1.33,0.0
50,800000,Europa,CH,19225.0,9.94,0.0
51,800000,Europa,E,281.0,0.15,0.0
52,800000,Europa,IL,4989.0,2.58,0.0
53,800000,Europa,JPP,0.0,0.0,0.0
54,800000,Europa,L,2993.0,1.55,0.0
55,800000,Europa,MAS,436.0,0.23,0.0
56,800000,Europa,MPT,1757.0,0.91,0.0
57,800000,Europa,NC,935.0,0.48,0.0
58,800000,Europa,PAN,7411.0,3.83,0.0
59,800000,Europa,PCP-PEV,4935.0,2.55,0.0
60,800000,Europa,PCTP/MRPP,2261.0,1.17,0.0
61,800000,Europa,PPD/PSD,49063.0,25.38,1.0
62,800000,Europa,PPD/PSD.CDS-PP,0.0,0.0,0.0
63,800000,Europa,PPD/PSD.CDS-PP.PPM,0.0,0.0,0.0
64,800000,Europa,PPM,0.0,0.0,0.0
65,800000,Europa,PS,78048.0,40.37,1.0
66,800000,Europa,PTP,1149.0,0.59,0.0
67,800000,Europa,R.I.R.,1293.0,0.67,0.0
68,800000,Europa,VP,1109.0,0.57,0.0
69,20000,Beja,A,0.0,0.0,0.0
70,20000,Beja,ADN,0.0,0.0,0.0
71,20000,Beja,B.E.,2511.0,3.72,0.0
