distrito,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_perdidos,%votos_perdidos_cc
Lisboa,1112762.0,47.0,39.0,65416.0,12109.0,5.8787054194877255,1.0881931625990104
Braga,457521.0,19.0,16.0,28375.0,4364.0,6.201901114921501,0.9538359987847552
Porto,926944.0,39.0,32.0,60303.0,8015.0,6.505570994580039,0.8646692788345358
Santarém,218511.0,9.0,8.0,15632.0,3072.0,7.153873260385061,1.4058788802394389
Setúbal,410056.0,18.0,15.0,34213.0,4857.0,8.343494547086252,1.1844723647501805
Faro,183119.0,9.0,7.0,17286.0,2978.0,9.43976321408483,1.626264887859807
Aveiro,352778.0,16.0,13.0,37540.0,4165.0,10.641253139368102,1.1806291775564235
Vila Real,106394.0,5.0,4.0,13671.0,748.0,12.84940880124819,0.7030471643137771
Leiria,226832.0,10.0,8.0,29161.0,2524.0,12.855769909007547,1.1127177823234817
Bragança,67047.0,3.0,3.0,8921.0,510.0,13.305591599922442,0.7606604322341044
Coimbra,210746.0,9.0,8.0,29400.0,1931.0,13.950442713028954,0.9162688734305752
Évora,82117.0,3.0,2.0,11570.0,745.0,14.0896525688956,0.9072421057759051
Beja,72123.0,3.0,2.0,10776.0,780.0,14.941142215382056,1.0814857951000374
Viseu,182845.0,9.0,7.0,28940.0,1454.0,15.827613552462468,0.7952090568514315
Guarda,81793.0,4.0,3.0,13961.0,618.0,17.068697810326068,0.7555658797207585
Açores,89173.0,5.0,4.0,17478.0,4766.0,19.600103170242114,5.344667107756832
V. Castelo,123119.0,6.0,5.0,26301.0,2335.0,21.362259277609468,1.8965391206881148
Europa,12061.0,2.0,2.0,2640.0,250.0,21.88873227758892,2.072796617195921
C. Branco,99965.0,4.0,3.0,22660.0,1035.0,22.667933776821886,1.0353623768318911
Portalegre,56978.0,2.0,2.0,15638.0,478.0,27.445680789076487,0.8389202850222893
Madeira,120489.0,6.0,5.0,33767.0,17860.0,28.02496493455834,14.822929894015221
F. Europa,13037.0,2.0,2.0,5915.0,2855.0,45.37086753087367,21.899209940937332
