distrito,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_perdidos,%votos_perdidos_cc
Porto,983512.0,39.0,32.0,22929.0,12290.0,2.3313391194006785,1.2496034618794687
Braga,485948.0,19.0,15.0,14712.0,9392.0,3.0274844222015522,1.9327170808399252
Setúbal,406107.0,17.0,14.0,13333.0,6047.0,3.283124890730768,1.4890164414797085
Santarém,238194.0,10.0,8.0,8668.0,4309.0,3.639050521843539,1.8090296145158988
Lisboa,1111320.0,47.0,38.0,40773.0,21798.0,3.6688802505129035,1.961451247165533
Aveiro,378571.0,16.0,13.0,25943.0,6510.0,6.852875682500772,1.719624588254251
Leiria,236841.0,10.0,8.0,20755.0,4966.0,8.763263117450103,2.0967653404604776
Coimbra,228479.0,10.0,8.0,20037.0,2830.0,8.76973376108964,1.2386258693359127
Viseu,208126.0,9.0,8.0,23838.0,1904.0,11.453638661195622,0.9148304392531448
Faro,194307.0,8.0,7.0,24653.0,5263.0,12.687654073193452,2.7086003077604
V. Castelo,137482.0,6.0,5.0,22604.0,2981.0,16.441425059280487,2.168283848067383
Madeira,133578.0,6.0,5.0,25318.0,9140.0,18.95371992393957,6.8424441150488855
Europa,14011.0,2.0,2.0,2822.0,311.0,20.14131753622154,2.219684533580758
Vila Real,123172.0,5.0,4.0,25560.0,1075.0,20.751469489819115,0.8727632903581983
Évora,89022.0,3.0,3.0,19232.0,930.0,21.603648536316864,1.04468558333895
Açores,92563.0,5.0,4.0,20703.0,980.0,22.366388297699945,1.0587383727839417
Bragança,81504.0,3.0,3.0,19687.0,1079.0,24.15464271692187,1.3238614055751865
Guarda,99117.0,4.0,3.0,25873.0,1964.0,26.103493850701696,1.981496615111434
C. Branco,113177.0,4.0,4.0,30089.0,2158.0,26.58579039910936,1.9067478374581408
Beja,79928.0,3.0,2.0,27538.0,982.0,34.45350815734161,1.2286057451706536
Portalegre,64283.0,2.0,2.0,23206.0,834.0,36.09974643373831,1.2973881119425041
F. Europa,7541.0,2.0,2.0,2805.0,256.0,37.1966582681342,3.3947752287495025
