,código,distrito,código_concelho,concelho,votos_concelho,votos_perdidos_concelho,votos_perdidos_concelho_cc,%_votos_perdidos_concelho,%_votos_perdidos_concelho_cc
146,100000,Leiria,101600,Porto de Mós,12107,2046,107,0.168993144,0.008837862
147,110000,Lisboa,110100,Alenquer,21398,788,350,0.036825872,0.016356669
148,110000,Lisboa,110200,Arruda dos Vinhos,7500,223,78,0.029733333,0.0104
149,110000,Lisboa,110300,Azambuja,9884,349,176,0.035309591,0.017806556
150,110000,Lisboa,110400,Cadaval,6603,198,78,0.02998637,0.011812812
151,110000,Lisboa,110500,Cascais,107390,3990,1448,0.037154297,0.013483565
152,110000,Lisboa,110600,Lisboa,299467,11191,3762,0.037369727,0.012562319
153,110000,Lisboa,110700,Loures,102307,2811,1444,0.027476126,0.014114381
154,110000,Lisboa,110800,Lourinhã,13214,508,182,0.038444074,0.013773271
155,110000,Lisboa,110900,Mafra,43009,1379,662,0.032063057,0.015392127
156,110000,Lisboa,111000,Oeiras,95976,3322,1209,0.03461282,0.012596899
157,110000,Lisboa,111100,Sintra,180791,5786,2824,0.032003805,0.015620247
158,110000,Lisboa,111200,Sobral de Monte Agraço,5256,217,122,0.041286149,0.023211568
159,110000,Lisboa,111300,Torres Vedras,41888,1604,783,0.03829259,0.018692704
160,110000,Lisboa,111400,Vila Franca de Xira,69695,2038,1051,0.029241696,0.015079991
161,110000,Lisboa,111500,Amadora,81810,2525,1258,0.030864198,0.015377093
162,110000,Lisboa,111600,Odivelas,74362,2071,1014,0.027850246,0.013635997
163,120000,Portalegre,120100,Alter do Chão,1605,887,16,0.552647975,0.009968847
164,120000,Portalegre,120200,Arronches,1434,843,14,0.587866109,0.009762901
165,120000,Portalegre,120300,Avis,2133,1303,32,0.610876699,0.015002344
166,120000,Portalegre,120400,Campo Maior,3724,1788,46,0.480128894,0.012352309
167,120000,Portalegre,120500,Castelo de Vide,1548,748,14,0.483204134,0.009043928
168,120000,Portalegre,120600,Crato,1874,889,14,0.474386339,0.007470651
169,120000,Portalegre,120700,Elvas,9274,4878,65,0.525986629,0.007008842
170,120000,Portalegre,120800,Fronteira,1526,844,13,0.553079948,0.008519004
171,120000,Portalegre,120900,Gavião,1922,792,31,0.41207076,0.016129032
172,120000,Portalegre,121000,Marvão,1543,750,22,0.486066105,0.014257939
173,120000,Portalegre,121100,Monforte,1395,784,22,0.562007168,0.015770609
174,120000,Portalegre,121200,Nisa,3074,1474,30,0.47950553,0.009759271
175,120000,Portalegre,121300,Ponte de Sor,7340,3593,95,0.489509537,0.012942779
176,120000,Portalegre,121400,Portalegre,11778,6427,63,0.545678383,0.005348956
177,120000,Portalegre,121500,Sousel,2285,1184,19,0.518161926,0.008315098
178,130000,Porto,130100,Amarante,28080,1248,167,0.044444444,0.005947293
179,130000,Porto,130200,Baião,8608,276,44,0.032063197,0.005111524
180,130000,Porto,130300,Felgueiras,31266,1413,245,0.045192861,0.007835988
181,130000,Porto,130400,Gondomar,86864,4963,636,0.057135292,0.00732179
182,130000,Porto,130500,Lousada,25849,1301,157,0.050330767,0.006073736
183,130000,Porto,130600,Maia,75978,4544,574,0.059806786,0.007554819
184,130000,Porto,130700,Marco de Canaveses,25651,1393,184,0.054305875,0.00717321
185,130000,Porto,130800,Matosinhos,92795,5267,597,0.056759524,0.006433536
186,130000,Porto,130900,Paços de Ferreira,29571,1440,230,0.048696358,0.007777891
187,130000,Porto,131000,Paredes,46097,2721,340,0.059027702,0.007375751
188,130000,Porto,131100,Penafiel,39104,2893,275,0.073982201,0.007032529
189,130000,Porto,131200,Porto,130301,9345,853,0.071718559,0.006546381
190,130000,Porto,131300,Póvoa de Varzim,33163,1995,210,0.060157404,0.006332358
191,130000,Porto,131400,Santo Tirso,38533,1766,264,0.045830846,0.00685127
192,130000,Porto,131500,Valongo,49364,2983,375,0.060428652,0.007596629
193,130000,Porto,131600,Vila do Conde,42434,2117,298,0.04988924,0.007022671
194,130000,Porto,131700,Vila Nova de Gaia,161826,9712,1234,0.060015078,0.007625474
195,130000,Porto,131800,Trofa,21004,1147,142,0.054608646,0.006760617
196,140000,Santarém,140100,Abrantes,17895,3506,123,0.195920648,0.006873428
197,140000,Santarém,140200,Alcanena,6382,1247,53,0.195393294,0.008304607
198,140000,Santarém,140300,Almeirim,9837,1745,65,0.177391481,0.006607706
199,140000,Santarém,140400,Alpiarça,3578,1104,10,0.308552264,0.002794857
200,140000,Santarém,140500,Benavente,13145,3054,92,0.232331685,0.006998859
201,140000,Santarém,140600,Cartaxo,11634,2362,80,0.203025615,0.006876397
202,140000,Santarém,140700,Chamusca,4326,900,32,0.208044383,0.007397134
203,140000,Santarém,140800,Constância,2062,462,15,0.224054316,0.007274491
204,140000,Santarém,140900,Coruche,8759,1854,54,0.211667999,0.006165087
205,140000,Santarém,141000,Entroncamento,9967,2093,67,0.209992977,0.006722183
206,140000,Santarém,141100,Ferreira do Zêzere,4208,571,41,0.135693916,0.009743346
207,140000,Santarém,141200,Golegã,2753,552,18,0.200508536,0.006538322
208,140000,Santarém,141300,Mação,3754,520,32,0.138518913,0.008524241
209,140000,Santarém,141400,Rio Maior,10031,1522,63,0.151729638,0.00628053
210,140000,Santarém,141500,Salvaterra de Magos,9494,1990,53,0.209606067,0.005582473
211,140000,Santarém,141600,Santarém,30000,5541,145,0.1847,0.004833333
212,140000,Santarém,141700,Sardoal,2109,346,17,0.164058796,0.008060692
213,140000,Santarém,141800,Tomar,18871,3368,151,0.178474909,0.008001696
