partido,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_nao_convertidos,%votos_nao_convertidos_cc,votos_por_deputado,votos_por_deputado_cc
P.H.,3590.0,0.0,0.0,3590.0,3590.0,100.0,100.0,inf,inf
PDA,4532.0,0.0,0.0,4532.0,4532.0,100.0,100.0,inf,inf
POUS,4604.0,0.0,0.0,4604.0,4604.0,100.0,100.0,inf,inf
CH,8205.0,0.0,0.0,8205.0,8205.0,100.0,100.0,inf,inf
PND,11776.0,0.0,0.0,11776.0,11776.0,100.0,100.0,inf,inf
PPM,15081.0,0.0,0.0,15081.0,15081.0,100.0,100.0,inf,inf
PTP,16811.0,0.0,0.0,16811.0,16811.0,100.0,100.0,inf,inf
PNR,17742.0,0.0,0.0,17742.0,17742.0,100.0,100.0,inf,inf
MEP,21936.0,0.0,0.0,21936.0,21936.0,100.0,100.0,inf,inf
MPT,22690.0,0.0,1.0,22690.0,0.0,100.0,0.0,inf,22690.0
PAN,57849.0,0.0,2.0,57849.0,0.0,100.0,0.0,inf,28924.5
MRPP,62683.0,0.0,2.0,62683.0,0.0,100.0,0.0,inf,31341.5
B.E.,288973.0,8.0,12.0,105748.0,0.0,36.59442231627176,0.0,36121.625,24081.083333333332
PCP-PEV,441852.0,16.0,19.0,85071.0,0.0,19.253279378615463,0.0,27615.75,23255.36842105263
CDS-PP,653987.0,24.0,29.0,71498.0,0.0,10.932633217479857,0.0,27249.458333333332,22551.275862068964
PS,1568168.0,74.0,69.0,2714.0,0.0,0.17306819167334112,0.0,21191.45945945946,22727.072463768116
PPD/PSD,2159742.0,108.0,96.0,0.0,0.0,0.0,0.0,19997.61111111111,22497.3125
