,código,distrito,partido,votos,% votos,mandatos
0,30000,Braga,B.E.,38898.0,1.38,1.0
1,30000,Braga,CDS-PP,48158.0,0.98,1.0
2,30000,Braga,CH,808.0,0.0,0.0
3,30000,Braga,MEP,1527.0,0.0,0.0
4,30000,Braga,MMS,817.0,0.0,0.0
5,30000,Braga,MPT,1206.0,0.0,0.0
6,30000,Braga,MRPP,3793.0,0.0,0.0
7,30000,Braga,PCP-PEV,23037.0,0.0,0.0
8,30000,Braga,PND,3825.0,0.0,0.0
9,30000,Braga,PNR,830.0,0.0,0.0
10,30000,Braga,POUS,382.0,0.0,0.0
11,30000,Braga,PPD/PSD,153448.0,0.0,5.0
12,30000,Braga,PPM,1524.0,0.0,0.0
13,30000,Braga,PS,207695.0,0.0,8.0
14,30000,Braga,PTP,0.0,0.0,0.0
15,180000,Viseu,B.E.,13971.0,1.59,0.0
16,180000,Viseu,CDS-PP,28867.0,1.75,1.0
17,180000,Viseu,CH,351.0,0.0,0.0
18,180000,Viseu,MEP,508.0,0.0,0.0
19,180000,Viseu,MMS,375.0,0.0,0.0
20,180000,Viseu,MPT,301.0,0.0,0.0
21,180000,Viseu,MRPP,1307.0,0.0,0.0
22,180000,Viseu,PCP-PEV,6148.0,0.0,0.0
23,180000,Viseu,PND,509.0,0.0,0.0
24,180000,Viseu,PNR,368.0,0.0,0.0
25,180000,Viseu,POUS,0.0,0.0,0.0
26,180000,Viseu,PPD/PSD,80676.0,0.0,4.0
27,180000,Viseu,PPM,0.0,0.0,0.0
28,180000,Viseu,PS,74745.0,0.0,3.0
29,180000,Viseu,PTP,0.0,0.0,0.0
30,50000,Castelo Branco,B.E.,10668.0,1.72,0.0
31,50000,Castelo Branco,CDS-PP,9839.0,1.95,0.0
32,50000,Castelo Branco,CH,249.0,0.0,0.0
33,50000,Castelo Branco,MEP,347.0,0.0,0.0
34,50000,Castelo Branco,MMS,502.0,0.0,0.0
35,50000,Castelo Branco,MPT,353.0,0.0,0.0
36,50000,Castelo Branco,MRPP,1145.0,0.0,0.0
37,50000,Castelo Branco,PCP-PEV,5932.0,0.0,0.0
38,50000,Castelo Branco,PND,0.0,0.0,0.0
39,50000,Castelo Branco,PNR,259.0,0.0,0.0
40,50000,Castelo Branco,POUS,0.0,0.0,0.0
41,50000,Castelo Branco,PPD/PSD,34919.0,0.0,2.0
42,50000,Castelo Branco,PPM,395.0,0.0,0.0
43,50000,Castelo Branco,PS,48169.0,0.0,2.0
44,50000,Castelo Branco,PTP,400.0,0.0,0.0
45,130000,Porto,B.E.,92929.0,1.51,3.0
46,130000,Porto,CDS-PP,93831.0,1.06,3.0
47,130000,Porto,CH,2168.0,0.0,0.0
48,130000,Porto,MEP,3611.0,0.0,0.0
49,130000,Porto,MMS,2231.0,0.0,0.0
50,130000,Porto,MPT,1762.0,0.0,0.0
51,130000,Porto,MRPP,7028.0,0.0,0.0
52,130000,Porto,PCP-PEV,57584.0,0.0,2.0
53,130000,Porto,PND,1808.0,0.0,0.0
54,130000,Porto,PNR,1362.0,0.0,0.0
55,130000,Porto,POUS,1358.0,0.0,0.0
56,130000,Porto,PPD/PSD,294186.0,0.0,10.0
57,130000,Porto,PPM,1601.0,0.0,0.0
58,130000,Porto,PS,422053.0,0.0,14.0
59,130000,Porto,PTP,0.0,0.0,0.0
60,110000,Lisboa,B.E.,124244.0,1.9,4.0
61,110000,Lisboa,CDS-PP,126088.0,1.36,4.0
62,110000,Lisboa,CH,0.0,0.0,0.0
63,110000,Lisboa,MEP,8974.0,0.0,0.0
64,110000,Lisboa,MMS,4468.0,0.0,0.0
65,110000,Lisboa,MPT,2982.0,0.0,0.0
66,110000,Lisboa,MRPP,10001.0,0.0,0.0
67,110000,Lisboa,PCP-PEV,114119.0,0.0,4.0
68,110000,Lisboa,PND,4013.0,0.0,0.0
69,110000,Lisboa,PNR,4542.0,0.0,0.0
70,110000,Lisboa,POUS,849.0,0.0,0.0
71,110000,Lisboa,PPD/PSD,288554.0,0.0,11.0
72,110000,Lisboa,PPM,3218.0,0.0,0.0
73,110000,Lisboa,PS,417542.0,0.0,15.0
74,110000,Lisboa,PTP,1726.0,0.0,0.0
75,70000,Évora,B.E.,10167.0,1.53,0.0
76,70000,Évora,CDS-PP,5858.0,1.12,0.0
77,70000,Évora,CH,0.0,0.0,0.0
78,70000,Évora,MEP,369.0,0.0,0.0
79,70000,Évora,MMS,182.0,0.0,0.0
80,70000,Évora,MPT,154.0,0.0,0.0
81,70000,Évora,MRPP,1908.0,0.0,0.0
82,70000,Évora,PCP-PEV,20413.0,0.0,1.0
83,70000,Évora,PND,149.0,0.0,0.0
84,70000,Évora,PNR,151.0,0.0,0.0
85,70000,Évora,POUS,0.0,0.0,0.0
86,70000,Évora,PPD/PSD,17361.0,0.0,1.0
87,70000,Évora,PPM,294.0,0.0,0.0
88,70000,Évora,PS,32016.0,0.0,1.0
89,70000,Évora,PTP,0.0,0.0,0.0
90,60000,Coimbra,B.E.,25508.0,2.26,1.0
91,60000,Coimbra,CDS-PP,20711.0,1.31,0.0
92,60000,Coimbra,CH,0.0,0.0,0.0
93,60000,Coimbra,MEP,1071.0,0.0,0.0
94,60000,Coimbra,MMS,455.0,0.0,0.0
95,60000,Coimbra,MPT,447.0,0.0,0.0
96,60000,Coimbra,MRPP,2496.0,0.0,0.0
97,60000,Coimbra,PCP-PEV,13640.0,0.0,0.0
98,60000,Coimbra,PND,0.0,0.0,0.0
99,60000,Coimbra,PNR,445.0,0.0,0.0
100,60000,Coimbra,POUS,234.0,0.0,0.0
101,60000,Coimbra,PPD/PSD,72418.0,0.0,3.0
102,60000,Coimbra,PPM,711.0,0.0,0.0
103,60000,Coimbra,PS,89805.0,0.0,4.0
104,60000,Coimbra,PTP,538.0,0.0,0.0
105,10000,Aveiro,B.E.,35183.0,1.8,1.0
106,10000,Aveiro,CDS-PP,50687.0,1.26,2.0
107,10000,Aveiro,CH,756.0,0.0,0.0
108,10000,Aveiro,MEP,1497.0,0.0,0.0
109,10000,Aveiro,MMS,2529.0,0.0,0.0
110,10000,Aveiro,MPT,646.0,0.0,0.0
111,10000,Aveiro,MRPP,2961.0,0.0,0.0
112,10000,Aveiro,PCP-PEV,14975.0,0.0,0.0
113,10000,Aveiro,PND,912.0,0.0,0.0
114,10000,Aveiro,PNR,654.0,0.0,0.0
115,10000,Aveiro,POUS,0.0,0.0,0.0
116,10000,Aveiro,PPD/PSD,134971.0,0.0,5.0
117,10000,Aveiro,PPM,1013.0,0.0,0.0
118,10000,Aveiro,PS,131787.0,0.0,5.0
119,10000,Aveiro,PTP,0.0,0.0,0.0
120,150000,Setúbal,B.E.,58827.0,1.74,2.0
121,150000,Setúbal,CDS-PP,38378.0,1.45,1.0
122,150000,Setúbal,CH,732.0,0.0,0.0
123,150000,Setúbal,MEP,1707.0,0.0,0.0
124,150000,Setúbal,MMS,1161.0,0.0,0.0
125,150000,Setúbal,MPT,943.0,0.0,0.0
126,150000,Setúbal,MRPP,5579.0,0.0,0.0
127,150000,Setúbal,PCP-PEV,84203.0,0.0,3.0
128,150000,Setúbal,PND,1084.0,0.0,0.0
129,150000,Setúbal,PNR,0.0,0.0,0.0
130,150000,Setúbal,POUS,305.0,0.0,0.0
131,150000,Setúbal,PPD/PSD,68740.0,0.0,2.0
132,150000,Setúbal,PPM,1234.0,0.0,0.0
133,150000,Setúbal,PS,142626.0,0.0,6.0
134,150000,Setúbal,PTP,588.0,0.0,0.0
135,80000,Faro,B.E.,31017.0,2.3,1.0
136,80000,Faro,CDS-PP,21596.0,1.37,1.0
137,80000,Faro,CH,868.0,0.0,0.0
138,80000,Faro,MEP,945.0,0.0,0.0
139,80000,Faro,MMS,585.0,0.0,0.0
140,80000,Faro,MPT,763.0,0.0,0.0
141,80000,Faro,MRPP,2807.0,0.0,0.0
142,80000,Faro,PCP-PEV,15638.0,0.0,0.0
143,80000,Faro,PND,876.0,0.0,0.0
144,80000,Faro,PNR,877.0,0.0,0.0
145,80000,Faro,POUS,383.0,0.0,0.0
146,80000,Faro,PPD/PSD,52770.0,0.0,2.0
147,80000,Faro,PPM,911.0,0.0,0.0
148,80000,Faro,PS,64271.0,0.0,3.0
149,80000,Faro,PTP,0.0,0.0,0.0
150,300000,Madeira,B.E.,8446.0,1.13,0.0
151,300000,Madeira,CDS-PP,15244.0,1.68,0.0
152,300000,Madeira,CH,0.0,0.0,0.0
153,300000,Madeira,MEP,573.0,0.0,0.0
154,300000,Madeira,MMS,335.0,0.0,0.0
155,300000,Madeira,MPT,2863.0,0.0,0.0
156,300000,Madeira,MRPP,1458.0,0.0,0.0
157,300000,Madeira,PCP-PEV,5701.0,0.0,0.0
158,300000,Madeira,PND,4735.0,0.0,0.0
159,300000,Madeira,PNR,485.0,0.0,0.0
160,300000,Madeira,POUS,0.0,0.0,0.0
161,300000,Madeira,PPD/PSD,66194.0,0.0,4.0
162,300000,Madeira,PPM,722.0,0.0,0.0
163,300000,Madeira,PS,26822.0,0.0,1.0
164,300000,Madeira,PTP,0.0,0.0,0.0
165,140000,Santarém,B.E.,29379.0,1.98,1.0
166,140000,Santarém,CDS-PP,27660.0,1.44,1.0
167,140000,Santarém,CH,543.0,0.0,0.0
168,140000,Santarém,MEP,960.0,0.0,0.0
169,140000,Santarém,MMS,642.0,0.0,0.0
170,140000,Santarém,MPT,480.0,0.0,0.0
171,140000,Santarém,MRPP,3399.0,0.0,0.0
172,140000,Santarém,PCP-PEV,22848.0,0.0,1.0
173,140000,Santarém,PND,496.0,0.0,0.0
174,140000,Santarém,PNR,590.0,0.0,0.0
175,140000,Santarém,POUS,206.0,0.0,0.0
176,140000,Santarém,PPD/PSD,66516.0,0.0,2.0
177,140000,Santarém,PPM,639.0,0.0,0.0
178,140000,Santarém,PS,83123.0,0.0,3.0
179,140000,Santarém,PTP,713.0,0.0,0.0
180,160000,Viana do Castelo,B.E.,12098.0,1.6,0.0
181,160000,Viana do Castelo,CDS-PP,19246.0,1.23,1.0
182,160000,Viana do Castelo,CH,372.0,0.0,0.0
183,160000,Viana do Castelo,MEP,399.0,0.0,0.0
184,160000,Viana do Castelo,MMS,257.0,0.0,0.0
185,160000,Viana do Castelo,MPT,247.0,0.0,0.0
186,160000,Viana do Castelo,MRPP,1192.0,0.0,0.0
187,160000,Viana do Castelo,PCP-PEV,5934.0,0.0,0.0
188,160000,Viana do Castelo,PND,1400.0,0.0,0.0
189,160000,Viana do Castelo,PNR,192.0,0.0,0.0
190,160000,Viana do Castelo,POUS,0.0,0.0,0.0
191,160000,Viana do Castelo,PPD/PSD,44327.0,0.0,2.0
