partido,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_nao_convertidos,%votos_nao_convertidos_cc,votos_por_deputado,votos_por_deputado_cc
CH,2659.0,0.0,0.0,2659.0,2659.0,100.0,100.0,inf,inf
CDS-PP,11190.0,0.0,0.0,11190.0,11190.0,100.0,100.0,inf,inf
PURP,13979.0,0.0,0.0,13979.0,13979.0,100.0,100.0,inf,inf
JPP,14285.0,0.0,0.0,14285.0,14285.0,100.0,100.0,inf,inf
PPM,14897.0,0.0,0.0,14897.0,14897.0,100.0,100.0,inf,inf
NC,21439.0,0.0,0.0,21439.0,21439.0,100.0,100.0,inf,inf
PTP,22497.0,0.0,1.0,22497.0,0.0,100.0,0.0,inf,22497.0
MPT,22596.0,0.0,1.0,22596.0,0.0,100.0,0.0,inf,22596.0
PNR,27269.0,0.0,1.0,27269.0,0.0,100.0,0.0,inf,27269.0
L,39340.0,0.0,1.0,39340.0,0.0,100.0,0.0,inf,39340.0
MRPP,59955.0,0.0,2.0,59955.0,0.0,100.0,0.0,inf,29977.5
ADN,61632.0,0.0,2.0,61632.0,0.0,100.0,0.0,inf,30816.0
PAN,75140.0,1.0,3.0,52512.0,0.0,69.88554697897258,0.0,75140.0,25046.666666666668
B.E.,550892.0,19.0,25.0,76585.0,0.0,13.901998939901105,0.0,28994.315789473683,22035.68
PCP-PEV,445980.0,17.0,20.0,87137.0,0.0,19.53832010404054,0.0,26234.117647058825,22299.0
PS,1747685.0,86.0,80.0,1592.0,0.0,0.09109193018192638,0.0,20321.918604651164,21846.0625
PPD/PSD,2074975.0,107.0,94.0,0.0,0.0,0.0,0.0,19392.28971962617,22074.202127659573
