partido,votos,mandatos,mandatos_cc,votos_perdidos,votos_perdidos_cc,%votos_nao_convertidos,%votos_nao_convertidos_cc,votos_por_deputado,votos_por_deputado_cc
PDA,1639.0,0.0,0.0,1639.0,1639.0,100.0,100.0,inf,inf
POUS,5570.0,0.0,0.0,5570.0,5570.0,100.0,100.0,inf,inf
PNR,9405.0,0.0,0.0,9405.0,9405.0,100.0,100.0,inf,inf
P.H.,16873.0,0.0,0.0,16873.0,16873.0,100.0,100.0,inf,inf
PND,40225.0,0.0,1.0,40225.0,0.0,100.0,0.0,inf,40225.0
MRPP,47917.0,0.0,2.0,47917.0,0.0,100.0,0.0,inf,23958.5
B.E.,365053.0,8.0,15.0,150245.0,0.0,41.157037471271295,0.0,45631.625,24336.866666666665
CDS-PP,416296.0,12.0,17.0,96199.0,0.0,23.108317158944597,0.0,34691.333333333336,24488.0
PCP-PEV,433108.0,14.0,18.0,91697.0,0.0,21.171855518715887,0.0,30936.285714285714,24061.555555555555
PPD/PSD,1653820.0,75.0,69.0,41288.0,0.0,2.496523200832013,0.0,22050.933333333334,23968.405797101448
PS,2589900.0,121.0,108.0,3535.0,0.0,0.13649175643847253,0.0,21404.132231404958,23980.555555555555
