,circulo_compensacao,desvio_proporcionalidade,votos_perdidos
0,0,27.85722642,723251
1,1,26.98766121,682764
2,2,26.11809599,602858
3,3,25.42169094,566740
4,4,24.73128939,531381
5,5,24.04681403,455263
6,6,23.36818889,409490
7,7,22.69533928,368975
8,8,22.02819179,368975
9,9,21.36667423,368975
10,10,20.71071565,334610
11,11,20.06024625,334610
12,12,19.41519744,239318
13,13,18.77550173,151189
14,14,18.14109275,151189
15,15,17.51190526,151189
16,16,16.88787503,151189
17,17,16.26893893,151189
18,18,15.65503484,151189
19,19,15.04610162,151189
20,20,14.44207916,151189
21,21,13.84290828,151189
22,22,13.24853077,151189
23,23,12.65888934,151189
24,24,12.0739276,151189
25,25,11.49359006,151189
26,26,10.91782211,151189
27,27,10.34656999,151189
28,28,9.779780771,151189
29,29,9.217402367,151189
30,30,8.659383484,151189
31,31,8.105673628,151189
32,32,7.556223079,151189
33,33,7.020883327,151189
34,34,7.06293306,151189
35,35,6.692960947,151189
36,36,6.373130526,151189
37,37,6.436023608,119333
38,38,5.804295721,119333
39,39,5.863432326,119333
40,40,5.922127614,119333
41,41,5.980386505,96320
42,42,6.038213849,96320
43,43,5.467708686,96320
44,44,5.603371807,96320
45,45,5.738041059,96320
46,46,5.871727324,96320
47,47,5.784391986,96320
48,48,5.403693767,96320
49,49,5.465846705,96320
50,50,5.530776711,96320
51,51,5.595241268,96320
52,52,5.659245364,96320
53,53,5.722793915,96320
54,54,5.100231657,79194
55,55,4.766671543,79194
56,56,4.803997975,79194
57,57,4.230829731,79194
58,58,4.284519115,79194
59,59,3.759072737,79194
60,60,3.851020085,79194
61,61,3.942331119,79194
62,62,4.051797411,79194
63,63,4.123070486,79194
64,64,3.915980517,79194
65,65,3.968003543,79194
66,66,4.044621221,79194
67,67,4.124350944,79194
68,68,4.216084649,79194
69,69,4.309359742,79194
70,70,4.402008828,79194
71,71,4.494038187,79194
72,72,4.585454018,79194
73,73,4.69818432,79194
74,74,4.832394789,79194
75,75,4.965719379,79194
76,76,4.690355378,79194
77,77,4.800364007,79194
78,78,4.527395492,79194
79,79,4.326654003,79194
80,80,4.36472668,79194
81,81,4.402552931,79194
82,82,4.458920131,79194
83,83,4.477475667,79194
84,84,4.514576829,79194
85,85,4.551440924,79194
86,86,4.588070215,79194
87,87,4.62709878,79194
88,88,4.723416668,79194
89,89,4.851196886,79194
90,90,4.978173455,79194
91,91,5.104353933,79194
92,92,5.043787351,79194
93,93,5.127510093,79194
94,94,5.210712817,79194
95,95,5.293400354,79194
96,96,5.375577475,79194
97,97,5.45724889,79194
98,98,5.24838615,79194
99,99,5.302794134,79194
100,100,5.356870363,79194
101,101,5.410617861,79194
102,102,5.464039617,79194
103,103,5.535045654,79194
104,104,5.267611257,79194
105,105,5.242227557,79194
106,106,5.274595254,79194
107,107,5.306769711,79194
108,108,5.338752654,79194
109,109,4.86201109,79194
110,110,4.89159911,79194
111,111,4.943963356,79194
112,112,4.996019577,79194
113,113,5.047770482,79194
114,114,5.099218751,79194
115,115,5.15036703,79194
116,116,5.211232574,79194
117,117,5.282011138,79194
118,118,5.36854132,79194
119,119,5.47681871,79194
120,120,5.326173313,79194
121,121,5.278067696,79194
122,122,5.325511478,79194
123,123,5.375979529,79194
124,124,5.426160829,79194
125,125,5.476057816,79194
126,126,5.525672899,79194
127,127,5.113033692,79194
128,128,4.693262339,79194
129,129,4.729456592,79194
130,130,4.765448643,79194
131,131,4.80124018,79194
132,132,4.326998004,79194
133,133,4.388599409,79194
134,134,4.125031231,79194
135,135,4.199609256,79194
136,136,4.273777512,79194
137,137,4.187265867,79194
138,138,4.224693819,79194
139,139,4.261917803,79194
140,140,4.298939483,79194
141,141,4.341229297,79194
142,142,4.392163624,79194
143,143,4.446853324,79194
144,144,4.225081379,79194
145,145,4.27304116,79194
146,146,4.323219652,79194
147,147,3.85458155,66242
148,148,3.917313031,66242
149,149,4.001967921,66242
150,150,4.086174902,66242
151,151,4.169937518,66242
152,152,4.100195585,66242
153,153,4.148544805,66242
154,154,4.196640887,66242
155,155,4.246191378,66242
156,156,4.316905042,66242
157,157,4.387251363,66242
158,158,4.457647455,66242
159,159,4.528606473,66242
160,160,4.599199722,66242
161,161,4.366475827,66242
162,162,4.419208014,66242
163,163,4.483396165,66242
164,164,4.073909342,53863
165,165,4.15959247,53863
166,166,3.995292124,53863
167,167,3.91186052,53863
168,168,3.941268524,53863
169,169,3.970528377,53863
170,170,3.999641195,53863
171,171,4.028608085,53863
172,172,4.05743014,53863
173,173,4.090323628,53863
174,174,4.136228765,53863
175,175,4.181906086,53863
176,176,3.771987227,53863
177,177,3.815991627,53863
178,178,3.882240162,53863
179,179,3.980278191,53863
180,180,4.077835642,53863
181,181,4.066891593,53863
182,182,4.131296149,53863
183,183,4.195387301,53863
184,184,3.814400812,53863
185,185,3.875521196,53863
186,186,3.465480461,42102
187,187,3.526257099,42102
188,188,3.589973503,42102
189,189,3.407487679,42102
190,190,3.449941754,42102
191,191,3.492193184,42102
192,192,3.232936248,42102
193,193,3.249462139,42102
194,194,3.306874529,42102
195,195,3.364015465,42102
196,196,3.421432834,42102
197,197,3.021587783,30611
198,198,3.08234448,30611
199,199,2.94661227,30611
200,200,2.556854101,30611
201,201,2.602602745,30611
202,202,2.676938232,30611
203,203,2.719665141,30611
204,204,2.780892261,30611
205,205,2.435809505,30611
206,206,2.491151615,30611
207,207,2.546525238,30611
208,208,2.194508199,30611
209,209,2.275955124,30611
210,210,2.361636869,30611
211,211,2.446928264,30611
212,212,2.55061696,30611
213,213,2.616350627,30611
214,214,2.701050613,30611
215,215,2.490710477,30611
216,216,2.319076472,30611
217,217,2.365639889,30611
218,218,2.411994502,30611
219,219,2.458141712,30611
220,220,2.504082907,30611
221,221,2.244575116,30611
222,222,2.294045579,30611
223,223,2.385940461,30611
224,224,2.402278993,30611
225,225,2.481397553,30611
226,226,2.560167574,30611
227,227,2.638591353,30611
228,228,2.563607474,30611
229,229,2.612553691,30611
230,230,2.661286169,30611
