,código,concelho,partido,votos,% votos,mandatos
69,310100,Calheta,JPP,365,0.0,0
70,310100,Calheta,L,24,0.0,0
71,310100,Calheta,MPT,29,0.0,0
72,310100,Calheta,PAN,70,0.0,0
73,310100,Calheta,PCP-PEV,70,0.0,0
74,310100,Calheta,PPD/PSD,4140,0.0,0
75,310100,Calheta,PS,1013,0.0,0
76,310100,Calheta,PTP,67,0.0,0
77,310100,Calheta,R.I.R.,22,0.0,0
78,310500,Ponta do Sol,ADN,19,0.46,0
79,310500,Ponta do Sol,B.E.,48,2.65,0
80,310500,Ponta do Sol,CH,297,0.0,0
81,310500,Ponta do Sol,IL,79,0.0,0
82,310500,Ponta do Sol,JPP,340,0.0,0
83,310500,Ponta do Sol,L,16,0.0,0
84,310500,Ponta do Sol,MPT,17,0.0,0
85,310500,Ponta do Sol,PAN,40,0.0,0
86,310500,Ponta do Sol,PCP-PEV,41,0.0,0
87,310500,Ponta do Sol,PPD/PSD,2623,0.0,0
88,310500,Ponta do Sol,PS,1239,0.0,0
89,310500,Ponta do Sol,PTP,51,0.0,0
90,310500,Ponta do Sol,R.I.R.,12,0.0,0
91,310900,Santana,ADN,16,0.64,0
92,310900,Santana,B.E.,64,1.73,0
93,310900,Santana,CH,240,0.0,0
94,310900,Santana,IL,55,0.0,0
95,310900,Santana,JPP,335,0.0,0
96,310900,Santana,L,30,0.0,0
97,310900,Santana,MPT,17,0.0,0
98,310900,Santana,PAN,57,0.0,0
99,310900,Santana,PCP-PEV,73,0.0,0
100,310900,Santana,PPD/PSD,2227,0.0,0
101,310900,Santana,PS,792,0.0,0
102,310900,Santana,PTP,28,0.0,0
103,310900,Santana,R.I.R.,23,0.0,0
104,311000,São Vicente,ADN,14,0.55,0
105,311000,São Vicente,B.E.,38,2.35,0
106,311000,São Vicente,CH,216,0.0,0
107,311000,São Vicente,IL,94,0.0,0
108,311000,São Vicente,JPP,146,0.0,0
109,311000,São Vicente,L,15,0.0,0
110,311000,São Vicente,MPT,10,0.0,0
111,311000,São Vicente,PAN,43,0.0,0
112,311000,São Vicente,PCP-PEV,42,0.0,0
113,311000,São Vicente,PPD/PSD,1646,0.0,0
114,311000,São Vicente,PS,537,0.0,0
115,311000,São Vicente,PTP,33,0.0,0
116,311000,São Vicente,R.I.R.,15,0.0,0
117,320100,Porto Santo,ADN,11,1.23,0
118,320100,Porto Santo,B.E.,43,2.75,0
119,320100,Porto Santo,CH,242,0.0,0
120,320100,Porto Santo,IL,37,0.0,0
121,320100,Porto Santo,JPP,115,0.0,0
122,320100,Porto Santo,L,33,0.0,0
123,320100,Porto Santo,MPT,16,0.0,0
124,320100,Porto Santo,PAN,36,0.0,0
125,320100,Porto Santo,PCP-PEV,37,0.0,0
126,320100,Porto Santo,PPD/PSD,1554,0.0,0
127,320100,Porto Santo,PS,745,0.0,0
128,320100,Porto Santo,PTP,21,0.0,0
129,320100,Porto Santo,R.I.R.,7,0.0,0
130,310600,Porto Moniz,ADN,4,0.5,0
131,310600,Porto Moniz,B.E.,9,1.9,0
132,310600,Porto Moniz,CH,66,0.0,0
133,310600,Porto Moniz,IL,17,0.0,0
134,310600,Porto Moniz,JPP,55,0.0,0
135,310600,Porto Moniz,L,5,0.0,0
136,310600,Porto Moniz,MPT,0,0.0,0
137,310600,Porto Moniz,PAN,20,0.0,0
138,310600,Porto Moniz,PCP-PEV,21,0.0,0
139,310600,Porto Moniz,PPD/PSD,1020,0.0,0
140,310600,Porto Moniz,PS,509,0.0,0
141,310600,Porto Moniz,PTP,14,0.0,0
142,310600,Porto Moniz,R.I.R.,2,0.0,0
143,999999,Compensação,ADN,617,,0
144,999999,Compensação,B.E.,3036,,1
145,999999,Compensação,CH,12028,,4
146,999999,Compensação,IL,3555,,1
147,999999,Compensação,JPP,14933,,5
148,999999,Compensação,L,858,,0
149,999999,Compensação,MPT,696,,0
150,999999,Compensação,PAN,3046,,1
151,999999,Compensação,PCP-PEV,3677,,1
152,999999,Compensação,PPD/PSD,58399,,23
153,999999,Compensação,PS,28844,,11
154,999999,Compensação,PTP,1369,,0
155,999999,Compensação,R.I.R.,727,,0
