,código,concelho,partido,votos,% votos,mandatos
0,310300,Funchal,ADN,275,0.6,0
1,310300,Funchal,B.E.,1603,1.95,0
2,310300,Funchal,CH,5317,0.0,0
3,310300,Funchal,IL,1968,0.0,0
4,310300,Funchal,JPP,4640,0.0,0
5,310300,Funchal,L,379,0.0,0
6,310300,Funchal,MPT,269,0.0,0
7,310300,Funchal,PAN,1566,0.0,0
8,310300,Funchal,PCP-PEV,2151,0.0,0
9,310300,Funchal,PPD/PSD,22412,0.0,0
10,310300,Funchal,PS,12912,0.0,0
11,310300,Funchal,PTP,538,0.0,0
12,310300,Funchal,R.I.R.,358,0.0,0
13,310800,Santa Cruz,ADN,86,0.68,0
14,310800,Santa Cruz,B.E.,519,1.8,0
15,310800,Santa Cruz,CH,1876,0.0,0
16,310800,Santa Cruz,IL,585,0.0,0
17,310800,Santa Cruz,JPP,6121,0.0,0
18,310800,Santa Cruz,L,133,0.0,0
19,310800,Santa Cruz,MPT,103,0.0,0
20,310800,Santa Cruz,PAN,589,0.0,0
21,310800,Santa Cruz,PCP-PEV,566,0.0,0
22,310800,Santa Cruz,PPD/PSD,7207,0.0,0
23,310800,Santa Cruz,PS,3336,0.0,0
24,310800,Santa Cruz,PTP,215,0.0,0
25,310800,Santa Cruz,R.I.R.,120,0.0,0
26,310200,Câmara de Lobos,ADN,90,0.66,0
27,310200,Câmara de Lobos,B.E.,350,2.06,0
28,310200,Câmara de Lobos,CH,1863,0.0,0
29,310200,Câmara de Lobos,IL,331,0.0,0
30,310200,Câmara de Lobos,JPP,1274,0.0,0
31,310200,Câmara de Lobos,L,133,0.0,0
32,310200,Câmara de Lobos,MPT,148,0.0,0
33,310200,Câmara de Lobos,PAN,353,0.0,0
34,310200,Câmara de Lobos,PCP-PEV,415,0.0,0
35,310200,Câmara de Lobos,PPD/PSD,7804,0.0,0
36,310200,Câmara de Lobos,PS,2902,0.0,0
37,310200,Câmara de Lobos,PTP,227,0.0,0
38,310200,Câmara de Lobos,R.I.R.,93,0.0,0
39,310400,Machico,ADN,38,0.52,0
40,310400,Machico,B.E.,180,2.01,0
41,310400,Machico,CH,695,0.0,0
42,310400,Machico,IL,176,0.0,0
43,310400,Machico,JPP,1075,0.0,0
44,310400,Machico,L,45,0.0,0
45,310400,Machico,MPT,47,0.0,0
46,310400,Machico,PAN,142,0.0,0
47,310400,Machico,PCP-PEV,148,0.0,0
48,310400,Machico,PPD/PSD,4282,0.0,0
49,310400,Machico,PS,3541,0.0,0
50,310400,Machico,PTP,75,0.0,0
51,310400,Machico,R.I.R.,35,0.0,0
52,310700,Ribeira Brava,ADN,42,0.65,0
53,310700,Ribeira Brava,B.E.,111,3.17,0
54,310700,Ribeira Brava,CH,775,0.0,0
55,310700,Ribeira Brava,IL,134,0.0,0
56,310700,Ribeira Brava,JPP,467,0.0,0
57,310700,Ribeira Brava,L,45,0.0,0
58,310700,Ribeira Brava,MPT,40,0.0,0
59,310700,Ribeira Brava,PAN,130,0.0,0
60,310700,Ribeira Brava,PCP-PEV,113,0.0,0
61,310700,Ribeira Brava,PPD/PSD,3484,0.0,0
62,310700,Ribeira Brava,PS,1318,0.0,0
63,310700,Ribeira Brava,PTP,100,0.0,0
64,310700,Ribeira Brava,R.I.R.,40,0.0,0
65,310100,Calheta,ADN,22,0.49,0
66,310100,Calheta,B.E.,71,2.08,0
67,310100,Calheta,CH,441,0.0,0
68,310100,Calheta,IL,79,0.0,0
