,circulo_compensacao,desvio_proporcionalidade,votos_perdidos
0,0.0,26.589213641680132,750534.0
1,1.0,25.719648424288827,659996.0
2,2.0,25.719648424288827,659996.0
3,3.0,24.85008320689752,590989.0
4,4.0,23.980517989506218,469233.0
5,5.0,23.980517989506218,374988.0
6,6.0,23.110952772114903,331212.0
7,7.0,23.110952772114903,210282.0
8,8.0,23.110952772114903,231714.0
9,9.0,22.2413875547236,231714.0
10,10.0,21.3718223373323,121943.0
11,11.0,20.502257119940996,121943.0
12,12.0,19.63269190254969,121943.0
13,13.0,18.76312668515839,121943.0
14,14.0,17.89356146776709,121943.0
15,15.0,17.02399625037578,121943.0
16,16.0,16.15443103298448,121943.0
17,17.0,15.284865815593172,121943.0
18,18.0,14.415300598201867,121943.0
19,19.0,14.415300598201867,121943.0
20,20.0,13.54573538081056,121943.0
21,21.0,12.676170163419261,121943.0
22,22.0,11.806604946027955,121943.0
23,23.0,10.937039728636647,121943.0
24,24.0,10.937039728636647,121943.0
25,25.0,10.937039728636647,121943.0
26,26.0,10.937039728636647,121943.0
27,27.0,10.067474511245344,121943.0
28,28.0,9.503328684269977,138845.0
29,29.0,9.503328684269977,138845.0
30,30.0,8.633763466878678,98744.0
31,31.0,7.76419824948737,98744.0
32,32.0,7.458778859071435,98744.0
33,33.0,7.458778859071435,98744.0
34,34.0,7.458778859071435,98744.0
35,35.0,7.458778859071435,98744.0
36,36.0,6.5892136416801295,98744.0
37,37.0,6.589213641680135,98744.0
38,38.0,6.589213641680135,98744.0
39,39.0,6.589213641680135,98744.0
40,40.0,6.589213641680135,98744.0
41,41.0,6.589213641680135,98744.0
42,42.0,6.589213641680135,98744.0
43,43.0,6.589213641680135,98744.0
44,44.0,6.589213641680135,98744.0
45,45.0,6.589213641680135,98744.0
46,46.0,6.589213641680135,98744.0
47,47.0,6.589213641680135,98744.0
48,48.0,6.589213641680135,98744.0
49,49.0,6.589213641680135,98744.0
50,50.0,6.589213641680135,98744.0
51,51.0,6.589213641680135,98744.0
52,52.0,6.589213641680135,98744.0
53,53.0,5.895252332765779,98744.0
54,54.0,5.895252332765779,98744.0
55,55.0,5.895252332765779,98744.0
56,56.0,5.895252332765779,98744.0
57,57.0,5.895252332765779,98744.0
58,58.0,5.895252332765779,98744.0
59,59.0,5.895252332765779,98744.0
60,60.0,5.895252332765779,98744.0
61,61.0,5.895252332765779,98744.0
62,62.0,5.895252332765779,98744.0
63,63.0,5.895252332765779,98744.0
64,64.0,5.895252332765779,98744.0
65,65.0,5.895252332765779,98744.0
66,66.0,5.895252332765779,98744.0
67,67.0,5.895252332765779,98744.0
68,68.0,5.895252332765779,98744.0
69,69.0,5.895252332765779,98744.0
70,70.0,5.895252332765779,98744.0
71,71.0,5.895252332765779,98744.0
72,72.0,5.895252332765779,98744.0
73,73.0,5.21720132222888,74608.0
74,74.0,5.21720132222888,74608.0
75,75.0,5.21720132222888,74608.0
76,76.0,5.21720132222888,74608.0
77,77.0,5.21720132222888,74608.0
78,78.0,5.21720132222888,74608.0
79,79.0,5.21720132222888,74608.0
80,80.0,5.21720132222888,74608.0
81,81.0,5.21720132222888,74608.0
82,82.0,5.21720132222888,74608.0
83,83.0,5.21720132222888,74608.0
84,84.0,5.21720132222888,74608.0
85,85.0,5.21720132222888,74608.0
86,86.0,5.21720132222888,74608.0
87,87.0,5.21720132222888,74608.0
88,88.0,5.21720132222888,74608.0
89,89.0,5.21720132222888,74608.0
90,90.0,5.21720132222888,74608.0
91,91.0,5.21720132222888,74608.0
92,92.0,5.21720132222888,74608.0
93,93.0,5.21720132222888,74608.0
94,94.0,5.21720132222888,74608.0
95,95.0,5.21720132222888,74608.0
96,96.0,5.21720132222888,74608.0
97,97.0,5.21720132222888,74608.0
98,98.0,5.21720132222888,74608.0
99,99.0,5.21720132222888,74608.0
100,100.0,5.21720132222888,74608.0
101,101.0,5.21720132222888,74608.0
102,102.0,5.21720132222888,74608.0
103,103.0,5.21720132222888,74608.0
104,104.0,5.21720132222888,74608.0
105,105.0,5.21720132222888,74608.0
106,106.0,5.21720132222888,74608.0
107,107.0,5.21720132222888,74608.0
108,108.0,5.21720132222888,74608.0
109,109.0,5.21720132222888,74608.0
110,110.0,5.21720132222888,74608.0
111,111.0,5.21720132222888,74608.0
112,112.0,5.21720132222888,74608.0
113,113.0,5.21720132222888,74608.0
114,114.0,5.21720132222888,74608.0
115,115.0,5.21720132222888,74608.0
116,116.0,5.21720132222888,74608.0
117,117.0,5.21720132222888,74608.0
118,118.0,5.21720132222888,74608.0
119,119.0,5.21720132222888,74608.0
120,120.0,5.21720132222888,74608.0
121,121.0,5.21720132222888,74608.0
122,122.0,5.21720132222888,74608.0
123,123.0,5.21720132222888,74608.0
124,124.0,5.21720132222888,74608.0
125,125.0,5.21720132222888,74608.0
126,126.0,5.21720132222888,74608.0
127,127.0,5.21720132222888,74608.0
128,128.0,5.21720132222888,74608.0
129,129.0,5.21720132222888,74608.0
130,130.0,5.21720132222888,74608.0
131,131.0,5.21720132222888,74608.0
132,132.0,5.21720132222888,74608.0
133,133.0,5.21720132222888,74608.0
134,134.0,5.21720132222888,74608.0
135,135.0,5.21720132222888,74608.0
136,136.0,5.21720132222888,74608.0
137,137.0,5.21720132222888,74608.0
138,138.0,5.21720132222888,74608.0
139,139.0,5.21720132222888,74608.0
140,140.0,5.21720132222888,74608.0
141,141.0,5.21720132222888,74608.0
142,142.0,5.21720132222888,74608.0
143,143.0,5.21720132222888,74608.0
144,144.0,5.21720132222888,74608.0
