,circulo_compensacao,desvio_proporcionalidade,votos_perdidos
0,0.0,20.97608461722155,529564.0
1,1.0,20.106519399830248,467932.0
2,2.0,19.236954182438943,407977.0
3,3.0,19.236954182438936,368637.0
4,4.0,18.36738896504763,316125.0
5,5.0,17.49782374765633,316125.0
6,6.0,16.62825853026503,316125.0
7,7.0,15.758693312873726,239540.0
8,8.0,14.889128095482421,239540.0
9,9.0,14.019562878091115,212271.0
10,10.0,14.019562878091115,212271.0
11,11.0,13.149997660699814,125134.0
12,12.0,13.149997660699814,125134.0
13,13.0,12.280432443308507,125134.0
14,14.0,11.410867225917205,125134.0
15,15.0,11.410867225917205,125134.0
16,16.0,10.541302008525903,140114.0
17,17.0,9.6717367911346,140114.0
18,18.0,9.6717367911346,140114.0
19,19.0,8.802171573743294,140114.0
20,20.0,7.932606356351987,140114.0
21,21.0,7.065967838301546,117518.0
22,22.0,7.065967838301546,102538.0
23,23.0,6.434090420276522,102538.0
24,24.0,6.434090420276522,100946.0
25,25.0,6.434090420276522,100946.0
26,26.0,6.434090420276522,100946.0
27,27.0,6.434090420276522,100946.0
28,28.0,6.434090420276522,100946.0
29,29.0,6.434090420276522,100946.0
30,30.0,6.434090420276522,100946.0
31,31.0,6.434090420276522,100946.0
32,32.0,6.434090420276522,100946.0
33,33.0,6.434090420276522,100946.0
34,34.0,6.434090420276522,100946.0
35,35.0,6.434090420276522,100946.0
36,36.0,6.434090420276522,100946.0
37,37.0,6.434090420276522,100946.0
38,38.0,6.434090420276522,100946.0
39,39.0,6.434090420276522,100946.0
40,40.0,6.434090420276522,100946.0
41,41.0,6.434090420276522,100946.0
42,42.0,6.434090420276522,100946.0
43,43.0,6.434090420276522,100946.0
44,44.0,6.434090420276522,100946.0
45,45.0,6.434090420276522,100946.0
46,46.0,6.434090420276522,100946.0
47,47.0,6.434090420276522,100946.0
48,48.0,6.434090420276522,100946.0
49,49.0,6.434090420276522,100946.0
50,50.0,6.434090420276522,100946.0
51,51.0,6.434090420276522,100946.0
52,52.0,6.434090420276522,100946.0
53,53.0,6.434090420276522,100946.0
54,54.0,6.434090420276522,100946.0
55,55.0,6.434090420276522,100946.0
56,56.0,6.434090420276522,100946.0
57,57.0,6.434090420276522,100946.0
58,58.0,6.434090420276522,100946.0
59,59.0,6.434090420276522,100946.0
60,60.0,6.434090420276522,100946.0
61,61.0,6.434090420276522,100946.0
62,62.0,6.434090420276522,100946.0
63,63.0,6.434090420276522,100946.0
64,64.0,6.434090420276522,100946.0
65,65.0,6.434090420276522,100946.0
66,66.0,6.434090420276522,100946.0
67,67.0,6.434090420276522,100946.0
68,68.0,6.434090420276522,100946.0
69,69.0,6.434090420276522,100946.0
