,código,distrito,partido,votos,% votos,mandatos
0,120000,Portalegre,A,269.0,0.52,0.0
1,120000,Portalegre,B.E.,4166.0,8.07,0.0
2,120000,Portalegre,CDS-PP,1961.0,3.8,0.0
3,120000,Portalegre,CH,1407.0,2.73,0.0
4,120000,Portalegre,IL,255.0,0.49,0.0
5,120000,Portalegre,JPP,0.0,0.0,0.0
6,120000,Portalegre,L,291.0,0.56,0.0
7,120000,Portalegre,MAS,0.0,0.0,0.0
8,120000,Portalegre,MPT,93.0,0.18,0.0
9,120000,Portalegre,NC,0.0,0.0,0.0
10,120000,Portalegre,PAN,856.0,1.66,0.0
11,120000,Portalegre,PCP-PEV,5480.0,10.62,0.0
12,120000,Portalegre,PCTP/MRPP,628.0,1.22,0.0
13,120000,Portalegre,PDR,68.0,0.13,0.0
14,120000,Portalegre,PNR,156.0,0.3,0.0
15,120000,Portalegre,PPD/PSD,10375.0,20.11,0.0
16,120000,Portalegre,PPM,0.0,0.0,0.0
17,120000,Portalegre,PS,23013.0,44.6,0.0
18,120000,Portalegre,PTP,61.0,0.12,0.0
19,120000,Portalegre,PURP,114.0,0.22,0.0
20,120000,Portalegre,R.I.R.,208.0,0.4,0.0
21,900000,Fora da Europa,A,611.0,1.21,0.0
22,900000,Fora da Europa,B.E.,1404.0,2.79,0.0
23,900000,Fora da Europa,CDS-PP,2141.0,4.25,0.0
24,900000,Fora da Europa,CH,465.0,0.92,0.0
25,900000,Fora da Europa,IL,1262.0,2.51,0.0
26,900000,Fora da Europa,JPP,196.0,0.39,0.0
27,900000,Fora da Europa,L,346.0,0.69,0.0
28,900000,Fora da Europa,MAS,0.0,0.0,0.0
29,900000,Fora da Europa,MPT,319.0,0.63,0.0
30,900000,Fora da Europa,NC,452.0,0.9,0.0
31,900000,Fora da Europa,PAN,2357.0,4.68,0.0
32,900000,Fora da Europa,PCP-PEV,520.0,1.03,0.0
33,900000,Fora da Europa,PCTP/MRPP,273.0,0.54,0.0
34,900000,Fora da Europa,PDR,1744.0,3.46,0.0
35,900000,Fora da Europa,PNR,1046.0,2.08,0.0
36,900000,Fora da Europa,PPD/PSD,16806.0,33.39,1.0
37,900000,Fora da Europa,PPM,302.0,0.6,0.0
38,900000,Fora da Europa,PS,10163.0,20.19,1.0
39,900000,Fora da Europa,PTP,307.0,0.61,0.0
40,900000,Fora da Europa,PURP,396.0,0.79,0.0
41,900000,Fora da Europa,R.I.R.,169.0,0.34,0.0
42,800000,Europa,A,558.0,0.52,0.0
43,800000,Europa,B.E.,6106.0,5.66,0.0
44,800000,Europa,CDS-PP,3179.0,2.95,0.0
45,800000,Europa,CH,913.0,0.85,0.0
46,800000,Europa,IL,874.0,0.81,0.0
47,800000,Europa,JPP,409.0,0.38,0.0
48,800000,Europa,L,1166.0,1.08,0.0
49,800000,Europa,MAS,173.0,0.16,0.0
50,800000,Europa,MPT,1012.0,0.94,0.0
51,800000,Europa,NC,688.0,0.64,0.0
52,800000,Europa,PAN,5296.0,4.91,0.0
53,800000,Europa,PCP-PEV,2712.0,2.51,0.0
54,800000,Europa,PCTP/MRPP,1267.0,1.17,0.0
55,800000,Europa,PDR,797.0,0.74,0.0
56,800000,Europa,PNR,810.0,0.75,0.0
57,800000,Europa,PPD/PSD,20254.0,18.77,1.0
58,800000,Europa,PPM,254.0,0.24,0.0
59,800000,Europa,PS,31362.0,29.06,1.0
60,800000,Europa,PTP,493.0,0.46,0.0
61,800000,Europa,PURP,672.0,0.62,0.0
62,800000,Europa,R.I.R.,553.0,0.51,0.0
63,20000,Beja,A,252.0,0.39,0.0
64,20000,Beja,B.E.,5833.0,9.08,0.0
65,20000,Beja,CDS-PP,1480.0,2.3,0.0
66,20000,Beja,CH,1313.0,2.04,0.0
67,20000,Beja,IL,279.0,0.43,0.0
68,20000,Beja,JPP,0.0,0.0,0.0
69,20000,Beja,L,397.0,0.62,0.0
70,20000,Beja,MAS,0.0,0.0,0.0
71,20000,Beja,MPT,169.0,0.26,0.0
72,20000,Beja,NC,118.0,0.18,0.0
73,20000,Beja,PAN,1269.0,1.97,0.0
74,20000,Beja,PCP-PEV,14655.0,22.8,1.0
75,20000,Beja,PCTP/MRPP,865.0,1.35,0.0
76,20000,Beja,PDR,101.0,0.16,0.0
77,20000,Beja,PNR,200.0,0.31,0.0
78,20000,Beja,PPD/PSD,8544.0,13.29,0.0
79,20000,Beja,PPM,95.0,0.15,0.0
80,20000,Beja,PS,26161.0,40.71,2.0
81,20000,Beja,PTP,73.0,0.11,0.0
82,20000,Beja,PURP,0.0,0.0,0.0
83,20000,Beja,R.I.R.,0.0,0.0,0.0
84,70000,Évora,A,459.0,0.62,0.0
