,código,concelho,partido,votos,% votos,mandatos
112,311000,São Vicente,ADN,13,0.46,0
113,311000,São Vicente,B.E.,28,0.99,0
114,311000,São Vicente,CDS-PP,99,3.5,0
115,311000,São Vicente,CH,242,8.55,0
116,311000,São Vicente,IL,51,1.8,0
117,311000,São Vicente,JPP,302,10.67,0
118,311000,São Vicente,L,18,0.64,0
119,311000,São Vicente,MPT,13,0.46,0
120,311000,São Vicente,PAN,26,0.92,0
121,311000,São Vicente,PCP-PEV,19,0.67,0
122,311000,São Vicente,PPD/PSD,1324,46.77,0
123,311000,São Vicente,PS,576,20.35,0
124,311000,São Vicente,PTP,21,0.74,0
125,311000,São Vicente,R.I.R.,18,0.64,0
126,320100,Porto Santo,ADN,7,0.24,0
127,320100,Porto Santo,B.E.,25,0.87,0
128,320100,Porto Santo,CDS-PP,72,2.5,0
129,320100,Porto Santo,CH,281,9.77,0
130,320100,Porto Santo,IL,50,1.74,0
131,320100,Porto Santo,JPP,229,7.96,0
132,320100,Porto Santo,L,20,0.7,0
133,320100,Porto Santo,MPT,6,0.21,0
134,320100,Porto Santo,PAN,34,1.18,0
135,320100,Porto Santo,PCP-PEV,19,0.66,0
136,320100,Porto Santo,PPD/PSD,1203,41.81,0
137,320100,Porto Santo,PS,825,28.68,0
138,320100,Porto Santo,PTP,11,0.38,0
139,320100,Porto Santo,R.I.R.,13,0.45,0
140,310600,Porto Moniz,ADN,5,0.27,0
141,310600,Porto Moniz,B.E.,8,0.44,0
142,310600,Porto Moniz,CDS-PP,24,1.32,0
143,310600,Porto Moniz,CH,61,3.35,0
144,310600,Porto Moniz,IL,9,0.49,0
145,310600,Porto Moniz,JPP,72,3.95,0
146,310600,Porto Moniz,L,2,0.11,0
147,310600,Porto Moniz,MPT,5,0.27,0
148,310600,Porto Moniz,PAN,11,0.6,0
149,310600,Porto Moniz,PCP-PEV,12,0.66,0
150,310600,Porto Moniz,PPD/PSD,897,49.23,0
151,310600,Porto Moniz,PS,673,36.94,0
152,310600,Porto Moniz,PTP,9,0.49,0
153,310600,Porto Moniz,R.I.R.,4,0.22,0
154,999999,Compensação,ADN,772,,0
155,999999,Compensação,B.E.,1912,,0
156,999999,Compensação,CDS-PP,5384,,2
157,999999,Compensação,CH,12541,,4
158,999999,Compensação,IL,3482,,1
159,999999,Compensação,JPP,22958,,9
160,999999,Compensação,L,911,,0
161,999999,Compensação,MPT,577,,0
162,999999,Compensação,PAN,2531,,1
163,999999,Compensação,PCP-PEV,2217,,0
164,999999,Compensação,PPD/PSD,49103,,19
165,999999,Compensação,PS,28981,,11
166,999999,Compensação,PTP,1222,,0
167,999999,Compensação,R.I.R.,527,,0
