,circulo_compensacao,desvio_proporcionalidade,votos_perdidos
0,0,19.22353546,461078
1,1,18.35397024,412264
2,2,17.48440502,320925
3,3,16.82187914,320925
4,4,16.16506469,320925
5,5,15.51388814,219906
6,6,14.86827719,219906
7,7,14.22816081,148635
8,8,13.59346914,148635
9,9,12.96413351,148635
10,10,12.34008643,148635
11,11,11.72126149,148635
12,12,11.10759343,123160
13,13,10.49901805,123160
14,14,9.895472217,123160
15,15,9.296893841,123160
16,16,8.703221844,123160
17,17,8.11439615,123160
18,18,7.530357657,123160
19,19,6.95104822,123160
20,20,6.376410633,123160
21,21,5.80638861,123160
22,22,5.240926763,123160
23,23,4.679970587,123160
24,24,4.137133717,101684
25,25,3.867084083,101684
26,26,4.022697042,92549
27,27,3.629058071,92549
28,28,3.720969836,92549
29,29,3.323350995,92549
30,30,3.413840544,92549
31,31,3.521721061,92549
32,32,3.405023754,92549
33,33,3.559732484,92549
34,34,3.551823519,92549
35,35,3.624386141,76523
36,36,3.696399045,76523
37,37,3.382619114,76523
38,38,3.393968242,76523
39,39,3.448680714,76523
40,40,3.535326139,76523
41,41,3.621327359,76523
42,42,3.494008914,76523
43,43,3.584209816,76523
44,44,3.518145926,76523
45,45,3.588173937,76523
46,46,3.657690795,76523
47,47,3.726702076,76523
48,48,3.502936314,76523
49,49,3.564961356,76523
50,50,3.523789197,76523
51,51,3.565693502,76523
52,52,3.652739073,76523
53,53,3.55451195,76523
54,54,3.564607606,76523
55,55,3.574631915,76523
56,56,3.621708478,76523
57,57,3.688424564,76523
58,58,3.754674104,76523
59,59,3.673138818,76523
60,60,3.632897803,76523
61,61,3.717000071,76523
62,62,3.800522324,76523
63,63,3.652346145,76523
64,64,3.661761011,76523
65,65,3.671111612,76523
66,66,3.680398603,76523
67,67,3.689622632,76523
68,68,3.716874066,76523
69,69,3.78057413,76523
70,70,3.904302928,76523
71,71,3.906695995,76523
72,72,3.969126318,76523
73,73,3.74367973,76523
74,74,3.752480416,76523
75,75,3.761223012,76523
76,76,3.769908091,76523
77,77,3.778536219,76523
78,78,3.183973115,76523
79,79,3.292824214,76523
80,80,3.324568849,76523
