código,distrito,partido,votos,% votos,mandatos
10000,AVEIRO,B.E.,19833.0,1.9065204847085977,0.0
10000,AVEIRO,CDS-PP,38046.0,1.003013400012823,1.0
10000,AVEIRO,MRPP,2368.0,0.0,0.0
10000,AVEIRO,P.H.,1044.0,0.0,0.0
10000,AVEIRO,PCP-PEV,13784.0,0.0,0.0
10000,AVEIRO,PDA,0.0,0.0,0.0
10000,AVEIRO,PND,3511.0,0.0,0.0
10000,AVEIRO,PNR,705.0,0.0,0.0
10000,AVEIRO,POUS,0.0,0.0,0.0
10000,AVEIRO,PPD/PSD,139062.0,0.0,6.0
10000,AVEIRO,PS,160227.0,0.0,8.0
10000,AVEIRO,brancos,7434.0,0.0,0.0
10000,AVEIRO,nulos,3911.0,0.0,0.0
20000,BEJA,B.E.,4144.0,1.1929021179164283,0.0
20000,BEJA,CDS-PP,2562.0,1.0234688036634232,0.0
20000,BEJA,MRPP,1632.0,0.0,0.0
20000,BEJA,P.H.,0.0,0.0,0.0
20000,BEJA,PCP-PEV,21034.0,0.0,1.0
20000,BEJA,PDA,0.0,0.0,0.0
20000,BEJA,PND,350.0,0.0,0.0
20000,BEJA,PNR,197.0,0.0,0.0
20000,BEJA,POUS,212.0,0.0,0.0
20000,BEJA,PPD/PSD,10729.0,0.0,0.0
20000,BEJA,PS,44554.0,0.0,2.0
20000,BEJA,brancos,1042.0,0.0,0.0
20000,BEJA,nulos,894.0,0.0,0.0
30000,BRAGA,B.E.,22187.0,1.3600056519715407,0.0
30000,BRAGA,CDS-PP,37656.0,0.8465489726710552,1.0
30000,BRAGA,MRPP,3691.0,0.0,0.0
30000,BRAGA,P.H.,1311.0,0.0,0.0
30000,BRAGA,PCP-PEV,23003.0,0.0,1.0
30000,BRAGA,PDA,0.0,0.0,0.0
30000,BRAGA,PND,4386.0,0.0,0.0
30000,BRAGA,PNR,705.0,0.0,0.0
30000,BRAGA,POUS,868.0,0.0,0.0
30000,BRAGA,PPD/PSD,158233.0,0.0,7.0
30000,BRAGA,PS,218589.0,0.0,9.0
30000,BRAGA,brancos,6545.0,0.0,0.0
30000,BRAGA,nulos,4074.0,0.0,0.0
40000,BRAGANCA,B.E.,2024.0,1.4634673843824721,0.0
40000,BRAGANCA,CDS-PP,8036.0,1.4430413207252455,0.0
40000,BRAGANCA,MRPP,459.0,0.0,0.0
40000,BRAGANCA,P.H.,263.0,0.0,0.0
40000,BRAGANCA,PCP-PEV,1692.0,0.0,0.0
40000,BRAGANCA,PDA,0.0,0.0,0.0
40000,BRAGANCA,PND,616.0,0.0,0.0
40000,BRAGANCA,PNR,260.0,0.0,0.0
40000,BRAGANCA,POUS,0.0,0.0,0.0
40000,BRAGANCA,PPD/PSD,32448.0,0.0,2.0
40000,BRAGANCA,PS,35010.0,0.0,2.0
40000,BRAGANCA,brancos,1218.0,0.0,0.0
40000,BRAGANCA,nulos,1201.0,0.0,0.0
50000,CASTELO BRANCO,B.E.,4656.0,1.4279411174842567,0.0
50000,CASTELO BRANCO,CDS-PP,6592.0,1.4167101199310095,0.0
50000,CASTELO BRANCO,MRPP,947.0,0.0,0.0
50000,CASTELO BRANCO,P.H.,325.0,0.0,0.0
50000,CASTELO BRANCO,PCP-PEV,4685.0,0.0,0.0
50000,CASTELO BRANCO,PDA,0.0,0.0,0.0
50000,CASTELO BRANCO,PND,611.0,0.0,0.0
50000,CASTELO BRANCO,PNR,270.0,0.0,0.0
50000,CASTELO BRANCO,POUS,0.0,0.0,0.0
50000,CASTELO BRANCO,PPD/PSD,33235.0,0.0,1.0
50000,CASTELO BRANCO,PS,69788.0,0.0,4.0
50000,CASTELO BRANCO,brancos,1780.0,0.0,0.0
50000,CASTELO BRANCO,nulos,1766.0,0.0,0.0
60000,COIMBRA,B.E.,15442.0,2.375616498859017,0.0
60000,COIMBRA,CDS-PP,13715.0,1.1475262344290587,0.0
60000,COIMBRA,MRPP,1551.0,0.0,0.0
60000,COIMBRA,P.H.,664.0,0.0,0.0
60000,COIMBRA,PCP-PEV,13462.0,0.0,0.0
60000,COIMBRA,PDA,0.0,0.0,0.0
60000,COIMBRA,PND,1282.0,0.0,0.0
60000,COIMBRA,PNR,343.0,0.0,0.0
60000,COIMBRA,POUS,360.0,0.0,0.0
60000,COIMBRA,PPD/PSD,78052.0,0.0,4.0
60000,COIMBRA,PS,111040.0,0.0,6.0
60000,COIMBRA,brancos,5809.0,0.0,0.0
60000,COIMBRA,nulos,2806.0,0.0,0.0
70000,EVORA,B.E.,4463.0,1.3650219581503487,0.0
70000,EVORA,CDS-PP,3594.0,0.8101265822784811,0.0
70000,EVORA,MRPP,1302.0,0.0,0.0
70000,EVORA,P.H.,191.0,0.0,0.0
70000,EVORA,PCP-PEV,20245.0,0.0,1.0
70000,EVORA,PDA,0.0,0.0,0.0
70000,EVORA,PND,397.0,0.0,0.0
70000,EVORA,PNR,123.0,0.0,0.0
70000,EVORA,POUS,105.0,0.0,0.0
70000,EVORA,PPD/PSD,16170.0,0.0,0.0
70000,EVORA,PS,48080.0,0.0,2.0
70000,EVORA,brancos,1321.0,0.0,0.0
70000,EVORA,nulos,784.0,0.0,0.0
80000,FARO,B.E.,15316.0,2.0803411018751596,0.0
80000,FARO,CDS-PP,11537.0,1.2851373465516982,0.0
80000,FARO,MRPP,1720.0,0.0,0.0
80000,FARO,P.H.,952.0,0.0,0.0
80000,FARO,PCP-PEV,13835.0,0.0,0.0
80000,FARO,PDA,0.0,0.0,0.0
80000,FARO,PND,1565.0,0.0,0.0
80000,FARO,PNR,500.0,0.0,0.0
80000,FARO,POUS,0.0,0.0,0.0
80000,FARO,PPD/PSD,49098.0,0.0,2.0
80000,FARO,PS,98575.0,0.0,6.0
80000,FARO,brancos,4157.0,0.0,0.0
80000,FARO,nulos,2568.0,0.0,0.0
90000,GUARDA,B.E.,3439.0,1.8752721371175236,0.0
90000,GUARDA,CDS-PP,7009.0,1.5041760677670901,0.0
90000,GUARDA,MRPP,676.0,0.0,0.0
90000,GUARDA,P.H.,364.0,0.0,0.0
90000,GUARDA,PCP-PEV,2958.0,0.0,0.0
90000,GUARDA,PDA,0.0,0.0,0.0
90000,GUARDA,PND,658.0,0.0,0.0
90000,GUARDA,PNR,332.0,0.0,0.0
90000,GUARDA,POUS,0.0,0.0,0.0
90000,GUARDA,PPD/PSD,35008.0,0.0,2.0
90000,GUARDA,PS,47193.0,0.0,2.0
90000,GUARDA,brancos,1895.0,0.0,0.0
90000,GUARDA,nulos,1520.0,0.0,0.0
100000,LEIRIA,B.E.,13788.0,2.331248444362369,0.0
100000,LEIRIA,CDS-PP,22044.0,1.2561522959204157,1.0
100000,LEIRIA,MRPP,1485.0,0.0,0.0
100000,LEIRIA,P.H.,747.0,0.0,0.0
100000,LEIRIA,PCP-PEV,11423.0,0.0,0.0
100000,LEIRIA,PDA,0.0,0.0,0.0
100000,LEIRIA,PND,1867.0,0.0,0.0
100000,LEIRIA,PNR,465.0,0.0,0.0
100000,LEIRIA,POUS,572.0,0.0,0.0
100000,LEIRIA,PPD/PSD,99144.0,0.0,5.0
100000,LEIRIA,PS,88623.0,0.0,4.0
100000,LEIRIA,brancos,5807.0,0.0,0.0
100000,LEIRIA,nulos,3129.0,0.0,0.0
110000,LISBOA,B.E.,103971.0,2.1460403195964837,4.0
110000,LISBOA,CDS-PP,97652.0,1.0759703330577028,4.0
110000,LISBOA,MRPP,10978.0,0.0,0.0
110000,LISBOA,P.H.,3581.0,0.0,0.0
110000,LISBOA,PCP-PEV,115571.0,0.0,5.0
110000,LISBOA,PDA,1125.0,0.0,0.0
110000,LISBOA,PND,7183.0,0.0,0.0
110000,LISBOA,PNR,2823.0,0.0,0.0
110000,LISBOA,POUS,1456.0,0.0,0.0
110000,LISBOA,PPD/PSD,280448.0,0.0,12.0
110000,LISBOA,PS,523358.0,0.0,23.0
110000,LISBOA,brancos,25460.0,0.0,0.0
110000,LISBOA,nulos,12765.0,0.0,0.0
120000,PORTALEGRE,B.E.,3264.0,1.4279880015209339,0.0
120000,PORTALEGRE,CDS-PP,2997.0,0.9294596459603711,0.0
120000,PORTALEGRE,MRPP,619.0,0.0,0.0
120000,PORTALEGRE,P.H.,202.0,0.0,0.0
120000,PORTALEGRE,PCP-PEV,8585.0,0.0,0.0
120000,PORTALEGRE,PDA,0.0,0.0,0.0
120000,PORTALEGRE,PND,242.0,0.0,0.0
120000,PORTALEGRE,PNR,127.0,0.0,0.0
120000,PORTALEGRE,POUS,0.0,0.0,0.0
120000,PORTALEGRE,PPD/PSD,14389.0,0.0,0.0
120000,PORTALEGRE,PS,38910.0,0.0,2.0
120000,PORTALEGRE,brancos,1014.0,0.0,0.0
120000,PORTALEGRE,nulos,660.0,0.0,0.0
130000,PORTO,B.E.,66986.0,1.730443109949524,2.0
130000,PORTO,CDS-PP,68382.0,1.1095704566765756,2.0
130000,PORTO,MRPP,7993.0,0.0,0.0
130000,PORTO,P.H.,2353.0,0.0,0.0
130000,PORTO,PCP-PEV,54297.0,0.0,2.0
130000,PORTO,PDA,0.0,0.0,0.0
130000,PORTO,PND,7666.0,0.0,0.0
130000,PORTO,PNR,0.0,0.0,0.0
130000,PORTO,POUS,1038.0,0.0,0.0
130000,PORTO,PPD/PSD,278774.0,0.0,12.0
130000,PORTO,PS,486501.0,0.0,20.0
130000,PORTO,brancos,17347.0,0.0,0.0
130000,PORTO,nulos,11123.0,0.0,0.0
140000,SANTAREM,B.E.,16592.0,1.83874917807518,0.0
140000,SANTAREM,CDS-PP,17607.0,1.319804549230836,0.0
140000,SANTAREM,MRPP,2334.0,0.0,0.0
140000,SANTAREM,P.H.,772.0,0.0,0.0
140000,SANTAREM,PCP-PEV,21882.0,0.0,1.0
140000,SANTAREM,PDA,0.0,0.0,0.0
140000,SANTAREM,PND,1676.0,0.0,0.0
140000,SANTAREM,PNR,502.0,0.0,0.0
140000,SANTAREM,POUS,391.0,0.0,0.0
140000,SANTAREM,PPD/PSD,67016.0,0.0,3.0
