código,distrito,partido,votos,% votos,mandatos
10000,Aveiro,B.E.,35183.0,1.8,1.0
10000,Aveiro,CDS-PP,50687.0,1.26,2.0
10000,Aveiro,CH,756.0,0.0,0.0
10000,Aveiro,MEP,1497.0,0.0,0.0
10000,Aveiro,MMS,2529.0,0.0,0.0
10000,Aveiro,MPT,646.0,0.0,0.0
10000,Aveiro,MRPP,2961.0,0.0,0.0
10000,Aveiro,PCP-PEV,14975.0,0.0,0.0
10000,Aveiro,PND,912.0,0.0,0.0
10000,Aveiro,PNR,654.0,0.0,0.0
10000,Aveiro,POUS,0.0,0.0,0.0
10000,Aveiro,PPD/PSD,134971.0,0.0,7.0
10000,Aveiro,PPM,1013.0,0.0,0.0
10000,Aveiro,PS,131787.0,0.0,6.0
10000,Aveiro,PTP,0.0,0.0,0.0
10000,Aveiro,brancos,7027.0,0.0,0.0
10000,Aveiro,nulos,4929.0,0.0,0.0
20000,Beja,B.E.,8264.0,1.5,0.0
20000,Beja,CDS-PP,4696.0,1.24,0.0
20000,Beja,CH,128.0,0.0,0.0
20000,Beja,MEP,247.0,0.0,0.0
20000,Beja,MMS,161.0,0.0,0.0
20000,Beja,MPT,258.0,0.0,0.0
20000,Beja,MRPP,1293.0,0.0,0.0
20000,Beja,PCP-PEV,23771.0,0.0,1.0
20000,Beja,PND,0.0,0.0,0.0
20000,Beja,PNR,134.0,0.0,0.0
20000,Beja,POUS,120.0,0.0,0.0
20000,Beja,PPD/PSD,12056.0,0.0,0.0
20000,Beja,PPM,181.0,0.0,0.0
20000,Beja,PS,28619.0,0.0,2.0
20000,Beja,PTP,0.0,0.0,0.0
20000,Beja,brancos,1232.0,0.0,0.0
20000,Beja,nulos,1023.0,0.0,0.0
30000,Braga,B.E.,38898.0,1.38,1.0
30000,Braga,CDS-PP,48158.0,0.98,2.0
30000,Braga,CH,808.0,0.0,0.0
30000,Braga,MEP,1527.0,0.0,0.0
30000,Braga,MMS,817.0,0.0,0.0
30000,Braga,MPT,1206.0,0.0,0.0
30000,Braga,MRPP,3793.0,0.0,0.0
30000,Braga,PCP-PEV,23037.0,0.0,1.0
30000,Braga,PND,3825.0,0.0,0.0
30000,Braga,PNR,830.0,0.0,0.0
30000,Braga,POUS,382.0,0.0,0.0
30000,Braga,PPD/PSD,153448.0,0.0,6.0
30000,Braga,PPM,1524.0,0.0,0.0
30000,Braga,PS,207695.0,0.0,9.0
30000,Braga,PTP,0.0,0.0,0.0
30000,Braga,brancos,6875.0,0.0,0.0
30000,Braga,nulos,4879.0,0.0,0.0
40000,Bragança,B.E.,5211.0,1.26,0.0
40000,Bragança,CDS-PP,10541.0,1.7,0.0
40000,Bragança,CH,104.0,0.0,0.0
40000,Bragança,MEP,320.0,0.0,0.0
40000,Bragança,MMS,195.0,0.0,0.0
40000,Bragança,MPT,160.0,0.0,0.0
40000,Bragança,MRPP,513.0,0.0,0.0
40000,Bragança,PCP-PEV,2023.0,0.0,0.0
40000,Bragança,PND,303.0,0.0,0.0
40000,Bragança,PNR,131.0,0.0,0.0
40000,Bragança,POUS,0.0,0.0,0.0
40000,Bragança,PPD/PSD,34122.0,0.0,2.0
40000,Bragança,PPM,186.0,0.0,0.0
40000,Bragança,PS,27695.0,0.0,1.0
40000,Bragança,PTP,0.0,0.0,0.0
40000,Bragança,brancos,1055.0,0.0,0.0
40000,Bragança,nulos,1425.0,0.0,0.0
50000,Castelo Branco,B.E.,10668.0,1.72,0.0
