código,distrito,inscritos,votos,% votos,mandatos,eleitores por mandato
10000,Aveiro,653597,368071,56.31,16,40849.8125
20000,Beja,128926,74485,57.77,3,42975.333333333336
30000,Braga,787768,474341,60.21,19,41461.47368421053
40000,Bragança,147465,69644,47.23,3,49155.0
50000,Castelo Branco,181378,104223,57.46,4,45344.5
60000,Coimbra,390947,220211,56.33,9,43438.555555555555
70000,Évora,141258,84617,59.9,3,47086.0
80000,Faro,370764,190484,51.38,9,41196.0
90000,Guarda,163462,85469,52.29,4,40865.5
100000,Leiria,423801,238433,56.26,10,42380.1
110000,Lisboa,1900982,1152050,60.6,47,40446.425531914894
120000,Portalegre,101189,59004,58.31,2,50594.5
130000,Porto,1591787,959919,60.3,39,40815.05128205128
140000,Santarém,393314,227620,57.87,9,43701.555555555555
150000,Setúbal,726049,423500,58.33,18,40336.055555555555
160000,Viana do Castelo,253219,128488,50.74,6,42203.166666666664
170000,Vila Real,228497,110273,48.26,5,45699.4
180000,Viseu,371931,190712,51.28,9,41325.666666666664
300000,Madeira,255821,125104,48.9,6,42636.833333333336
400000,Açores,227546,93803,41.22,5,45509.2
800000,Europa,78345,13658,17.43,2,39172.5
900000,Fora da Europa,164507,14696,8.93,2,82253.5
