código,distrito,inscritos,votos,% votos,mandatos,eleitores por mandato
10000,Aveiro,642086,423771,0.659991029,16,40130.375
20000,Beja,119102,76994,0.6464543,3,39700.66667
30000,Braga,780163,556367,0.713141997,19,41061.21053
40000,Bragança,134213,72673,0.541475118,3,44737.66667
50000,Castelo Branco,163578,108268,0.661873846,4,40894.5
60000,Coimbra,371745,242067,0.651164104,9,41305
70000,Évora,133400,89387,0.670067466,3,44466.66667
80000,Faro,382586,236193,0.617359234,9,42509.55556
90000,Guarda,141431,85103,0.601728051,3,47143.66667
100000,Leiria,412184,273515,0.663575005,10,41218.4
110000,Lisboa,1915172,1319002,0.688712032,48,39899.41667
120000,Portalegre,93106,60662,0.651536958,2,46553
130000,Porto,1591759,1115025,0.700498631,40,39793.975
140000,Santarém,377261,251064,0.66549153,9,41917.88889
150000,Setúbal,751292,502587,0.668963599,19,39541.68421
160000,Viana do Castelo,233491,142913,0.612070701,5,46698.2
170000,Vila Real,208667,117056,0.56097035,5,41733.4
180000,Viseu,335659,211586,0.630359978,8,41957.375
300000,Madeira,254502,149783,0.588533685,6,42417
400000,Açores,230082,106273,0.461891847,5,46016.4
800000,Europa,937311,234654,0.25034807,2,468655.5
900000,Fora da Europa,609436,98866,0.162225402,2,304718
