código,distrito,inscritos,votos,% votos,mandatos,eleitores por mandato
10000,Aveiro,642044,414418,64.55,16,40127.75
20000,Beja,118320,73742,62.32,3,39440.0
30000,Braga,782367,545377,69.71,19,41177.21052631579
40000,Bragança,132768,69983,52.71,3,44256.0
50000,Castelo Branco,162574,104076,64.02,4,40643.5
60000,Coimbra,370773,231278,62.38,9,41197.0
70000,Évora,132620,84923,64.03,3,44206.666666666664
80000,Faro,383944,230562,60.05,9,42660.444444444445
90000,Guarda,139506,81621,58.51,3,46502.0
100000,Leiria,411995,265109,64.35,10,41199.5
110000,Lisboa,1912945,1273500,66.57,48,39853.020833333336
120000,Portalegre,92532,57596,62.24,2,46266.0
130000,Porto,1591357,1097523,68.97,40,39783.925
140000,Santarém,377415,244178,64.7,9,41935.0
150000,Setúbal,754726,491217,65.09,19,39722.42105263158
160000,Viana do Castelo,232581,139915,60.16,5,46516.2
170000,Vila Real,206897,113806,55.01,5,41379.4
180000,Viseu,334039,206817,61.91,8,41754.875
300000,Madeira,255801,138922,54.31,6,42633.5
400000,Açores,230289,100883,43.81,5,46057.8
800000,Europa,948062,255305,26.93,2,474031.0
900000,Fora da Europa,636660,97198,15.27,2,318330.0
