código,distrito,inscritos,votos,% votos,mandatos,eleitores por mandato
10000,Aveiro,643937,390527,60.65,16,40246.0625
20000,Beja,138251,82183,59.44,3,46083.666666666664
30000,Braga,762944,497702,65.23,19,40154.94736842105
40000,Bragança,156335,83984,53.72,3,52111.666666666664
50000,Castelo Branco,193761,117485,60.63,4,48440.25
60000,Coimbra,393881,236924,60.15,10,39388.1
70000,Évora,147649,91440,61.93,3,49216.333333333336
80000,Faro,351874,201710,57.32,8,43984.25
90000,Guarda,175522,102380,58.33,4,43880.5
100000,Leiria,421010,247593,58.81,10,42101.0
110000,Lisboa,1856903,1148829,61.87,47,39508.574468085106
120000,Portalegre,108632,66122,60.87,2,54316.0
130000,Porto,1550752,1009488,65.1,39,39762.8717948718
140000,Santarém,404095,246623,61.03,10,40409.5
150000,Setúbal,699006,419488,60.01,17,41118.0
160000,Viana do Castelo,255700,141482,55.33,6,42616.666666666664
170000,Vila Real,236322,126520,53.54,5,47264.4
180000,Viseu,381883,215320,56.38,9,42431.444444444445
300000,Madeira,252099,137446,54.52,6,42016.5
400000,Açores,216759,95249,43.94,5,43351.8
800000,Europa,72536,16779,23.13,2,36268.0
900000,Fora da Europa,94471,8693,9.2,2,47235.5
