código,distrito,inscritos,votos,% votos,mandatos,eleitores por mandato
10000,AVEIRO,591179.0,389925.0,65.95718048171535,15.0,39411.933333333334
20000,BEJA,138674.0,87350.0,62.98945728831649,3.0,46224.666666666664
30000,BRAGA,689229.0,481248.0,69.8241078074196,18.0,38290.5
40000,BRAGANCA,149209.0,83227.0,55.778806908430454,4.0,37302.25
50000,CASTELO BRANCO,189375.0,124655.0,65.82442244224423,5.0,37875.0
60000,COIMBRA,378216.0,244526.0,64.65247371872158,10.0,37821.6
70000,EVORA,146462.0,96775.0,66.07515942701862,3.0,48820.666666666664
80000,FARO,324329.0,199823.0,61.61120343848376,8.0,40541.125
90000,GUARDA,167559.0,101052.0,60.30830931194385,4.0,41889.75
100000,LEIRIA,384632.0,249094.0,64.76164229705277,10.0,38463.2
110000,LISBOA,1794517.0,1186371.0,66.11088108945192,48.0,37385.770833333336
120000,PORTALEGRE,108636.0,71009.0,65.36415184653337,2.0,54318.0
130000,PORTO,1449201.0,1002460.0,69.17328928147303,38.0,38136.86842105263
140000,SANTAREM,388507.0,253977.0,65.37256728964987,10.0,38850.7
150000,SETUBAL,661125.0,428115.0,64.75553034600114,17.0,38889.705882352944
160000,VIANA DO CASTELO,232247.0,142197.0,61.2266251017236,6.0,38707.833333333336
170000,VILA REAL,220420.0,126062.0,57.19172488884856,5.0,44084.0
180000,VISEU,353288.0,214001.0,60.57409252507869,9.0,39254.22222222222
190000,ACORES,190224.0,91533.0,48.11853393893515,5.0,38044.8
220000,MADEIRA,228733.0,140240.0,61.311660320111216,6.0,38122.166666666664
800000,Europa,75803.0,23437.0,30.91830138648866,2.0,37901.5
900000,Fora da Europa,72575.0,13277.0,18.2941784361006,2.0,36287.5
