,código,distrito,partido,votos,% votos,mandatos
123,71400,Vila Viçosa,brancos,57.0,1.35,
124,80100,Albufeira,brancos,234.0,1.13,
125,80200,Alcoutim,brancos,23.0,1.64,
126,80300,Aljezur,brancos,46.0,1.76,
127,80400,Castro Marim,brancos,58.0,1.62,
128,80500,Faro,brancos,564.0,1.52,
129,80600,Lagoa,brancos,147.0,1.17,
130,80700,Lagos,brancos,221.0,1.51,
131,80800,Loulé,brancos,497.0,1.42,
132,80900,Monchique,brancos,69.0,2.31,
133,81000,Olhão,brancos,343.0,1.52,
134,81100,Portimão,brancos,397.0,1.25,
135,81200,São Brás de Alportel,brancos,113.0,1.96,
136,81300,Silves,brancos,290.0,1.5,
137,81400,Tavira,brancos,222.0,1.63,
138,81500,Vila do Bispo,brancos,42.0,1.68,
139,81600,Vila Real de Santo António,brancos,141.0,1.42,
140,90100,Aguiar da Beira,brancos,43.0,1.32,
141,90200,Almeida,brancos,49.0,1.39,
142,90300,Celorico da Beira,brancos,51.0,1.29,
143,90400,Figueira de Castelo Rodrigo,brancos,21.0,0.69,
144,90500,Fornos de Algodres,brancos,29.0,1.04,
145,90600,Gouveia,brancos,125.0,1.81,
146,90700,Guarda,brancos,281.0,1.13,
147,90800,Manteigas,brancos,23.0,1.32,
148,90900,Mêda,brancos,26.0,0.94,
149,91000,Pinhel,brancos,71.0,1.46,
150,91100,Sabugal,brancos,96.0,1.61,
151,91200,Seia,brancos,222.0,1.72,
152,91300,Trancoso,brancos,68.0,1.33,
153,91400,Vila Nova de Foz Côa,brancos,58.0,1.63,
154,100100,Alcobaça,brancos,495.0,1.48,
155,100200,Alvaiázere,brancos,40.0,1.08,
156,100300,Ansião,brancos,102.0,1.4,
157,100400,Batalha,brancos,167.0,1.69,
158,100500,Bombarral,brancos,146.0,1.94,
159,100600,Caldas da Rainha,brancos,519.0,1.76,
160,100700,Castanheira de Pêra,brancos,29.0,1.82,
161,100800,Figueiró dos Vinhos,brancos,48.0,1.48,
162,100900,Leiria,brancos,1595.0,2.0,
163,101000,Marinha Grande,brancos,424.0,1.9,
164,101100,Nazaré,brancos,113.0,1.43,
165,101200,Óbidos,brancos,156.0,2.16,
166,101300,Pedrógão Grande,brancos,36.0,1.88,
167,101400,Peniche,brancos,291.0,1.97,
168,101500,Pombal,brancos,671.0,2.29,
169,101600,Porto de Mós,brancos,249.0,1.74,
170,110100,Alenquer,brancos,366.0,1.43,
171,110200,Arruda dos Vinhos,brancos,134.0,1.51,
172,110300,Azambuja,brancos,156.0,1.32,
173,110400,Cadaval,brancos,142.0,1.77,
174,110500,Cascais,brancos,1454.0,1.2,
175,110600,Lisboa,brancos,2910.0,0.89,
176,110700,Loures,brancos,1338.0,1.15,
177,110800,Lourinhã,brancos,288.0,1.79,
178,110900,Mafra,brancos,868.0,1.7,
179,111000,Oeiras,brancos,1252.0,1.17,
180,111100,Sintra,brancos,2667.0,1.27,
181,111200,Sobral de Monte Agraço,brancos,89.0,1.42,
182,111300,Torres Vedras,brancos,897.0,1.8,
183,111400,Vila Franca de Xira,brancos,1154.0,1.42,
184,111500,Amadora,brancos,1017.0,1.11,
185,111600,Odivelas,brancos,979.0,1.15,
186,120100,Alter do Chão,brancos,14.0,0.78,
187,120200,Arronches,brancos,26.0,1.6,
188,120300,Avis,brancos,33.0,1.4,
189,120400,Campo Maior,brancos,71.0,1.57,
190,120500,Castelo de Vide,brancos,46.0,2.54,
191,120600,Crato,brancos,15.0,0.73,
192,120700,Elvas,brancos,149.0,1.31,
193,120800,Fronteira,brancos,26.0,1.42,
194,120900,Gavião,brancos,21.0,1.0,
195,121000,Marvão,brancos,35.0,2.13,
196,121100,Monforte,brancos,13.0,0.79,
197,121200,Nisa,brancos,65.0,1.82,
198,121300,Ponte de Sor,brancos,144.0,1.71,
199,121400,Portalegre,brancos,231.0,1.73,
200,121500,Sousel,brancos,31.0,1.18,
201,130100,Amarante,brancos,447.0,1.38,
202,130200,Baião,brancos,122.0,1.23,
203,130300,Felgueiras,brancos,487.0,1.35,
204,130400,Gondomar,brancos,1441.0,1.42,
205,130500,Lousada,brancos,407.0,1.36,
206,130600,Maia,brancos,1222.0,1.4,
207,130700,Marco de Canaveses,brancos,374.0,1.24,
208,130800,Matosinhos,brancos,1294.0,1.22,
209,130900,Paços de Ferreira,brancos,564.0,1.63,
210,131000,Paredes,brancos,622.0,1.15,
211,131100,Penafiel,brancos,478.0,1.07,
212,131200,Porto,brancos,1397.0,0.98,
213,131300,Póvoa de Varzim,brancos,557.0,1.41,
214,131400,Santo Tirso,brancos,688.0,1.56,
215,131500,Valongo,brancos,817.0,1.39,
216,131600,Vila do Conde,brancos,693.0,1.4,
217,131700,Vila Nova de Gaia,brancos,2485.0,1.31,
218,131800,Trofa,brancos,309.0,1.25,
219,140100,Abrantes,brancos,315.0,1.51,
220,140200,Alcanena,brancos,111.0,1.5,
221,140300,Almeirim,brancos,214.0,1.78,
222,140400,Alpiarça,brancos,77.0,1.86,
223,140500,Benavente,brancos,230.0,1.41,
224,140600,Cartaxo,brancos,217.0,1.56,
225,140700,Chamusca,brancos,55.0,1.12,
226,140800,Constância,brancos,41.0,1.7,
227,140900,Coruche,brancos,122.0,1.22,
228,141000,Entroncamento,brancos,147.0,1.28,
229,141100,Ferreira do Zêzere,brancos,70.0,1.44,
230,141200,Golegã,brancos,64.0,2.02,
231,141300,Mação,brancos,59.0,1.43,
232,141400,Rio Maior,brancos,198.0,1.66,
233,141500,Salvaterra de Magos,brancos,186.0,1.55,
234,141600,Santarém,brancos,510.0,1.47,
235,141700,Sardoal,brancos,32.0,1.34,
236,141800,Tomar,brancos,330.0,1.48,
237,141900,Torres Novas,brancos,415.0,1.98,
238,142000,Vila Nova da Barquinha,brancos,69.0,1.53,
239,142100,Ourém,brancos,406.0,1.53,
240,150100,Alcácer do Sal,brancos,77.0,1.19,
241,150200,Alcochete,brancos,150.0,1.3,
242,150300,Almada,brancos,1188.0,1.17,
243,150400,Barreiro,brancos,517.0,1.12,
244,150500,Grândola,brancos,123.0,1.62,
245,150600,Moita,brancos,416.0,1.11,
246,150700,Montijo,brancos,355.0,1.21,
247,150800,Palmela,brancos,511.0,1.28,
248,150900,Santiago do Cacém,brancos,288.0,1.82,
249,151000,Seixal,brancos,1179.0,1.2,
250,151100,Sesimbra,brancos,420.0,1.33,
251,151200,Setúbal,brancos,917.0,1.31,
252,151300,Sines,brancos,115.0,1.55,
253,160100,Arcos de Valdevez,brancos,242.0,1.9,
254,160200,Caminha,brancos,186.0,1.81,
255,160300,Melgaço,brancos,104.0,2.66,
256,160400,Monção,brancos,219.0,2.18,
257,160500,Paredes de Coura,brancos,118.0,2.38,
258,160600,Ponte da Barca,brancos,122.0,1.75,
259,160700,Ponte de Lima,brancos,432.0,1.58,
260,160800,Valença,brancos,126.0,1.68,
261,160900,Viana do Castelo,brancos,1027.0,1.91,
262,161000,Vila Nova de Cerveira,brancos,106.0,1.96,
263,170100,Alijó,brancos,77.0,1.21,
264,170200,Boticas,brancos,30.0,0.82,
265,170300,Chaves,brancos,321.0,1.41,
266,170400,Mesão Frio,brancos,24.0,1.18,
267,170500,Mondim de Basto,brancos,28.0,0.69,
268,170600,Montalegre,brancos,72.0,1.23,
269,170700,Murça,brancos,37.0,1.13,
270,170800,Peso da Régua,brancos,101.0,1.22,
271,170900,Ribeira de Pena,brancos,30.0,0.8,
272,171000,Sabrosa,brancos,48.0,1.34,
273,171100,Santa Marta de Penaguião,brancos,49.0,1.24,
274,171200,Valpaços,brancos,85.0,0.92,
275,171300,Vila Pouca de Aguiar,brancos,143.0,1.86,
276,171400,Vila Real,brancos,449.0,1.38,
277,180100,Armamar,brancos,38.0,1.09,
278,180200,Carregal do Sal,brancos,83.0,1.59,
279,180300,Castro Daire,brancos,115.0,1.43,
280,180400,Cinfães,brancos,106.0,1.11,
281,180500,Lamego,brancos,107.0,0.71,
