,código,distrito,partido,votos,% votos,mandatos
136,300000,Madeira,ADN,2348,1.57,0
137,300000,Madeira,L,1864,1.24,0
138,300000,Madeira,Outros,2950,1.96,0
139,170000,Vila Real,AD,46040,39.33,2
140,170000,Vila Real,PS,34654,29.6,1
141,170000,Vila Real,CH,20032,17.11,1
142,170000,Vila Real,ADN,2958,2.53,0
143,170000,Vila Real,B.E.,2865,2.45,0
144,170000,Vila Real,IL,2378,2.03,0
145,170000,Vila Real,PCP-PEV,1599,1.37,0
146,170000,Vila Real,L,1592,1.36,0
147,170000,Vila Real,Outros,1898,1.62,0
148,50000,Castelo Branco,PS,37052,34.22,1
149,50000,Castelo Branco,AD,30803,28.45,1
150,50000,Castelo Branco,CH,21131,19.52,1
151,50000,Castelo Branco,B.E.,4451,4.11,0
152,50000,Castelo Branco,IL,2959,2.73,0
153,50000,Castelo Branco,PCP-PEV,2372,2.19,0
154,50000,Castelo Branco,L,2171,2.01,0
155,50000,Castelo Branco,ADN,1491,1.38,0
156,50000,Castelo Branco,PAN,1427,1.32,0
157,50000,Castelo Branco,Outros,1391,1.29,0
158,120000,Portalegre,PS,20658,34.05,1
159,120000,Portalegre,CH,14915,24.59,1
160,120000,Portalegre,AD,14132,23.3,0
161,120000,Portalegre,PCP-PEV,3604,5.94,0
162,120000,Portalegre,B.E.,1894,3.12,0
163,120000,Portalegre,IL,1146,1.89,0
164,120000,Portalegre,L,873,1.44,0
165,120000,Portalegre,ADN,631,1.04,0
166,120000,Portalegre,Outros,1244,2.05,0
167,20000,Beja,PS,24408,31.7,1
168,20000,Beja,CH,16595,21.55,1
169,20000,Beja,AD,12890,16.74,0
170,20000,Beja,PCP-PEV,11570,15.03,0
171,20000,Beja,B.E.,3393,4.41,0
172,20000,Beja,IL,1708,2.22,0
173,20000,Beja,L,1369,1.78,0
174,20000,Beja,PAN,943,1.22,0
175,20000,Beja,ADN,861,1.12,0
176,20000,Beja,Outros,1153,1.5,0
177,70000,Évora,PS,29309,32.79,1
178,70000,Évora,AD,20049,22.43,1
179,70000,Évora,CH,17846,19.96,0
180,70000,Évora,PCP-PEV,9771,10.93,0
181,70000,Évora,B.E.,3816,4.27,0
182,70000,Évora,IL,2227,2.49,0
183,70000,Évora,L,1773,1.98,0
184,70000,Évora,PAN,991,1.11,0
185,70000,Évora,Outros,1544,1.74,0
186,40000,Bragança,AD,29077,40.01,1
187,40000,Bragança,PS,21538,29.64,1
188,40000,Bragança,CH,13216,18.19,0
189,40000,Bragança,ADN,1587,2.18,0
190,40000,Bragança,B.E.,1404,1.93,0
191,40000,Bragança,IL,1245,1.71,0
192,40000,Bragança,PCP-PEV,773,1.06,0
193,40000,Bragança,L,727,1.0,0
194,40000,Bragança,Outros,1244,1.7,0
195,900000,Fora da Europa,AD,22636,22.9,1
196,900000,Fora da Europa,PS,14410,14.58,0
197,900000,Fora da Europa,CH,18067,18.27,1
198,900000,Fora da Europa,B.E.,1847,1.87,0
199,900000,Fora da Europa,IL,1902,1.92,0
200,900000,Fora da Europa,L,697,0.7,0
201,900000,Fora da Europa,PAN,2332,2.36,0
202,900000,Fora da Europa,PCP-PEV,748,0.76,0
203,900000,Fora da Europa,ADN,1128,1.14,0
204,900000,Fora da Europa,Outros,2604,2.63,0
205,800000,Europa,AD,33350,14.21,0
206,800000,Europa,PS,38061,16.22,1
207,800000,Europa,CH,42972,18.31,1
208,800000,Europa,B.E.,6438,2.74,0
209,800000,Europa,IL,5719,2.44,0
210,800000,Europa,L,4091,1.74,0
211,800000,Europa,PAN,5174,2.2,0
212,800000,Europa,PCP-PEV,2363,1.01,0
213,800000,Europa,ADN,953,0.41,0
214,800000,Europa,Outros,3835,1.63,0
215,999999,Compensação,AD,1866857,,3
216,999999,Compensação,ADN,100458,,3
217,999999,Compensação,B.E.,282296,,6
218,999999,Compensação,CH,1169803,,1
219,999999,Compensação,IL,319654,,5
220,999999,Compensação,JPP,14344,,0
221,999999,Compensação,L,204678,,4
222,999999,Compensação,Outros,95046,,0
223,999999,Compensação,PAN,123093,,3
224,999999,Compensação,PCP-PEV,205676,,5
225,999999,Compensação,PS,1812408,,0
