,código,distrito,partido,votos,% votos,mandatos
84,110000,Lisboa,PCP-PEV,49341.0,3.74,2
85,110000,Lisboa,PS,340302.19860627176,27.73,13
86,120000,Portalegre,AD/IL,17291.736789631104,25.19,1
87,120000,Portalegre,B.E.,1894.0,3.12,0
88,120000,Portalegre,CH,12360.49723756906,24.59,0
89,120000,Portalegre,L,873.0,1.44,0
90,120000,Portalegre,Outros,1244.0,2.05,0
91,120000,Portalegre,PCP-PEV,3604.0,5.94,0
92,120000,Portalegre,PS,19218.4181184669,34.05,1
93,130000,Porto,AD/IL,462215.96410767693,36.15,19
94,130000,Porto,B.E.,51909.0,4.66,2
95,130000,Porto,CH,141638.1215469613,15.33,5
96,130000,Porto,L,37319.0,3.35,1
97,130000,Porto,Outros,18718.0,1.68,0
98,130000,Porto,PAN,23415.0,2.1,0
99,130000,Porto,PCP-PEV,26500.0,2.38,1
100,130000,Porto,PS,314524.1393728223,30.32,12
101,140000,Santarém,AD/IL,88903.05284147557,31.060000000000002,4
102,140000,Santarém,B.E.,11204.0,4.46,0
103,140000,Santarém,CH,48525.41436464088,23.32,2
104,140000,Santarém,L,6186.0,2.46,0
105,140000,Santarém,Outros,2639.0,1.05,0
106,140000,Santarém,PAN,3926.0,1.56,0
107,140000,Santarém,PCP-PEV,10343.0,4.12,0
108,140000,Santarém,PS,65042.87456445993,27.85,3
109,150000,Setúbal,AD/IL,131400.45064805582,22.53,6
110,150000,Setúbal,B.E.,30161.0,6.0,1
111,150000,Setúbal,CH,84594.19889502761,20.31,4
112,150000,Setúbal,L,21552.0,4.29,1
113,150000,Setúbal,Outros,7705.0,1.54,0
114,150000,Setúbal,PAN,12856.0,2.56,0
115,150000,Setúbal,PCP-PEV,38841.0,7.73,1
116,150000,Setúbal,PS,146213.6655052265,31.27,6
117,160000,Viana do Castelo,AD/IL,62107.05284147557,38.29,3
118,160000,Viana do Castelo,B.E.,4926.0,3.45,0
119,160000,Viana do Castelo,CH,22073.2044198895,18.64,1
120,160000,Viana do Castelo,L,2813.0,1.97,0
121,160000,Viana do Castelo,Outros,1936.0,1.35,0
122,160000,Viana do Castelo,PAN,2057.0,1.44,0
123,160000,Viana do Castelo,PCP-PEV,3106.0,2.17,0
124,160000,Viana do Castelo,PS,37433.02787456446,28.15,1
125,170000,Vila Real,AD/IL,54579.78464606181,41.36,3
126,170000,Vila Real,B.E.,2865.0,2.45,0
127,170000,Vila Real,CH,16601.104972375688,17.11,1
128,170000,Vila Real,L,1592.0,1.36,0
129,170000,Vila Real,Outros,1898.0,1.62,0
130,170000,Vila Real,PCP-PEV,1599.0,1.37,0
131,170000,Vila Real,PS,32239.087108013937,29.6,1
132,180000,Viseu,AD/IL,93751.34396809571,39.17,5
133,180000,Viseu,B.E.,5846.0,2.76,0
134,180000,Viseu,CH,34109.66850828729,19.45,1
